Borrower_ID,Borrower_Name,Sector,Risk_Profile,Quarter,Sales_Cr,EBITDA_Margin_pct,DSCR,Debt_to_TNW,Current_Ratio,Debtor_Days,Inventory_Days,Creditor_Days,Total_Debt_Cr,TNW_Cr
BORR-0014,"Dash, Radhakrishnan and Brar",Renewable Energy,Healthy,Q1,49.8,13.6,1.5,2.08,1.53,50.0,60.0,45.0,34.08,16.09
BORR-0015,"Memon, Pathak and Handa",Textiles,Healthy,Q1,55.78,13.5,1.5,2.08,1.53,50.0,60.0,45.0,21.0,8.11
BORR-0016,"Boase, Bath and Kari",Trading,Stressed,Q1,128.89,16.88,1.5,2.08,1.53,50.0,60.0,45.0,31.81,20.93
BORR-0017,Buch-Kaul,Steel,Stressed,Q1,70.12,13.21,1.5,2.08,1.53,50.0,60.0,45.0,45.86,15.65
BORR-0018,Rai LLC,Engineering,Watch,Q1,247.19,14.24,1.5,2.08,1.53,50.0,60.0,45.0,94.21,42.66
BORR-0019,Patla-Gaba,Manufacturing,Healthy,Q1,73.39,12.22,1.5,2.08,1.53,50.0,60.0,45.0,25.03,16.09
BORR-0020,Pant-Kadakia,Manufacturing,Healthy,Q1,52.43,10.2,1.5,2.08,1.53,50.0,60.0,45.0,9.16,24.35
BORR-0021,"Loke, Bora and Garg",Steel,Stressed,Q1,861.33,14.59,1.5,2.08,1.53,50.0,60.0,45.0,342.71,332.86
BORR-0022,"Konda, Gade and Shere",Chemicals,Healthy,Q1,149.13,11.8,1.5,2.08,1.53,50.0,60.0,45.0,52.37,65.9
BORR-0023,Madan-Kanda,Auto Components,Healthy,Q1,188.37,14.74,1.5,2.08,1.53,50.0,60.0,45.0,132.25,92.4
BORR-0024,"Nair, Bhalla and Karnik",Steel,Watch,Q1,52.49,14.15,1.5,2.08,1.53,50.0,60.0,45.0,27.58,9.72
BORR-0025,Mutti Group,Engineering,Healthy,Q1,113.33,9.68,1.5,2.08,1.53,50.0,60.0,45.0,29.21,16.28
BORR-0026,Bhatti-Kakar,Construction,Healthy,Q1,205.4,11.06,1.5,2.08,1.53,50.0,60.0,45.0,56.11,71.26
BORR-0027,"Murty, Kala and Tata",Logistics,Healthy,Q1,56.76,12.86,1.5,2.08,1.53,50.0,60.0,45.0,25.15,11.49
BORR-0028,Shanker-Dhar,Food Processing,Healthy,Q1,267.06,13.94,1.5,2.08,1.53,50.0,60.0,45.0,75.38,111.59
BORR-0029,Dewan-Koshy,Renewable Energy,Healthy,Q1,96.68,14.2,1.5,2.08,1.53,50.0,60.0,45.0,51.09,30.91
BORR-0030,"Yohannan, Lall and Sangha",Power,Watch,Q1,136.75,15.98,1.5,2.08,1.53,50.0,60.0,45.0,44.6,24.7
BORR-0031,"Rastogi, Pathak and Kanda",Logistics,Healthy,Q1,98.74,12.33,1.5,2.08,1.53,50.0,60.0,45.0,44.66,42.82
BORR-0032,Upadhyay Group,Auto Components,Healthy,Q1,1039.28,13.75,1.5,2.08,1.53,50.0,60.0,45.0,396.59,418.11
BORR-0033,Batta Inc,Steel,Stressed,Q1,222.79,15.64,1.5,2.08,1.53,50.0,60.0,45.0,103.61,83.39
BORR-0034,Dutta Ltd,Power,Healthy,Q1,63.2,14.9,1.5,2.08,1.53,50.0,60.0,45.0,11.28,18.68
BORR-0035,Bhatt-Rajan,Pharmaceuticals,Healthy,Q1,432.87,15.25,1.5,2.08,1.53,50.0,60.0,45.0,167.88,106.64
BORR-0036,Sidhu-Wadhwa,Trading,Healthy,Q1,54.07,13.18,1.5,2.08,1.53,50.0,60.0,45.0,24.73,16.05
BORR-0037,Apte-Contractor,Construction,Healthy,Q1,236.36,12.6,1.5,2.08,1.53,50.0,60.0,45.0,74.8,87.33
BORR-0038,"Yadav, Loke and Oak",Textiles,Healthy,Q1,53.07,11.91,1.5,2.08,1.53,50.0,60.0,45.0,21.53,15.74
BORR-0039,Memon Group,Pharmaceuticals,Stressed,Q1,57.99,19.51,1.5,2.08,1.53,50.0,60.0,45.0,34.6,22.46
BORR-0040,Setty Inc,Renewable Energy,Healthy,Q1,230.26,11.74,1.5,2.08,1.53,50.0,60.0,45.0,159.71,108.51
BORR-0041,"Lall, Tella and Gokhale",Power,Stressed,Q1,417.79,13.97,1.5,2.08,1.53,50.0,60.0,45.0,218.76,121.14
BORR-0042,"Cherian, Misra and Tripathi",Steel,Stressed,Q1,250.63,16.04,1.5,2.08,1.53,50.0,60.0,45.0,64.79,74.21
BORR-0043,"Issac, Dua and Prakash",Renewable Energy,Watch,Q1,179.25,12.04,1.5,2.08,1.53,50.0,60.0,45.0,92.9,31.47
BORR-0044,Zacharia PLC,Food Processing,Stressed,Q1,157.62,15.74,1.5,2.08,1.53,50.0,60.0,45.0,100.92,33.47
BORR-0045,Naik Group,Steel,Stressed,Q1,58.18,15.67,1.5,2.08,1.53,50.0,60.0,45.0,28.58,15.51
BORR-0046,Choudhury LLC,Infrastructure,Watch,Q1,92.41,14.92,1.5,2.08,1.53,50.0,60.0,45.0,36.49,35.62
BORR-0047,Khatri-Bhardwaj,Steel,Watch,Q1,124.42,11.61,1.5,2.08,1.53,50.0,60.0,45.0,64.51,42.2
BORR-0048,Brar Inc,Renewable Energy,Healthy,Q1,526.65,9.86,1.5,2.08,1.53,50.0,60.0,45.0,359.96,100.79
BORR-0049,"Sunder, Biswas and Walia",Renewable Energy,Stressed,Q1,309.24,14.8,1.5,2.08,1.53,50.0,60.0,45.0,121.86,78.13
BORR-0050,Dave Ltd,Auto Components,Healthy,Q1,54.83,11.6,1.5,2.08,1.53,50.0,60.0,45.0,10.79,19.48
BORR-0051,Gandhi-Lanka,Steel,Healthy,Q1,250.77,12.76,1.5,2.08,1.53,50.0,60.0,45.0,154.07,69.24
BORR-0052,"Sampath, Kakar and Zacharia",Pharmaceuticals,Watch,Q1,123.12,14.9,1.5,2.08,1.53,50.0,60.0,45.0,27.81,30.07
BORR-0053,"Iyer, Muni and Rastogi",Renewable Energy,Healthy,Q1,89.47,11.38,1.5,2.08,1.53,50.0,60.0,45.0,69.56,16.53
BORR-0054,"Prakash, Sarma and Varughese",Trading,Healthy,Q1,360.72,10.34,1.5,2.08,1.53,50.0,60.0,45.0,157.45,89.14
BORR-0055,Dara-Kota,Infrastructure,Healthy,Q1,558.96,11.68,1.5,2.08,1.53,50.0,60.0,45.0,299.55,162.75
BORR-0056,Bhatt LLC,Engineering,Watch,Q1,454.12,14.52,1.5,2.08,1.53,50.0,60.0,45.0,194.94,131.48
BORR-0057,Karpe PLC,Renewable Energy,Watch,Q1,82.96,13.52,1.5,2.08,1.53,50.0,60.0,45.0,15.75,37.25
BORR-0058,Amble Inc,Manufacturing,Healthy,Q1,134.66,11.78,1.5,2.08,1.53,50.0,60.0,45.0,25.24,57.81
BORR-0059,"Bhargava, Karnik and Bir",Infrastructure,Watch,Q1,285.77,13.05,1.5,2.08,1.53,50.0,60.0,45.0,139.81,40.71
BORR-0060,Narayanan Inc,Power,Watch,Q1,485.18,13.52,1.5,2.08,1.53,50.0,60.0,45.0,333.79,126.31
BORR-0061,"Khanna, Mallick and Sunder",Manufacturing,Healthy,Q1,111.06,12.15,1.5,2.08,1.53,50.0,60.0,45.0,42.5,23.56
BORR-0062,Zacharia and Sons,Textiles,Watch,Q1,168.44,14.67,1.5,2.08,1.53,50.0,60.0,45.0,90.36,24.52
BORR-0063,"Solanki, Kibe and Solanki",Textiles,Healthy,Q1,72.45,15.1,1.5,2.08,1.53,50.0,60.0,45.0,39.53,25.42
BORR-0064,Gupta-Chandra,Auto Components,Healthy,Q1,54.7,12.28,1.5,2.08,1.53,50.0,60.0,45.0,42.15,15.18
BORR-0065,Sankar LLC,Chemicals,Healthy,Q1,455.6,13.35,1.5,2.08,1.53,50.0,60.0,45.0,123.11,77.52
BORR-0066,Roy-Sibal,Pharmaceuticals,Healthy,Q1,735.86,15.36,1.5,2.08,1.53,50.0,60.0,45.0,138.14,231.56
BORR-0067,"Bhagat, Chaudhari and Bhat",Renewable Energy,Healthy,Q1,166.3,12.74,1.5,2.08,1.53,50.0,60.0,45.0,44.31,70.23
BORR-0068,Nori-Chopra,Logistics,Healthy,Q1,494.23,15.7,1.5,2.08,1.53,50.0,60.0,45.0,315.03,220.66
BORR-0069,Handa and Sons,Renewable Energy,Healthy,Q1,298.9,11.18,1.5,2.08,1.53,50.0,60.0,45.0,87.76,78.46
BORR-0070,"Sen, Dey and Sami",Food Processing,Watch,Q1,103.65,13.12,1.5,2.08,1.53,50.0,60.0,45.0,16.74,16.25
BORR-0071,Mallick Group,Infrastructure,Healthy,Q1,270.88,11.79,1.5,2.08,1.53,50.0,60.0,45.0,59.13,107.96
BORR-0072,Borra Group,Construction,Watch,Q1,941.12,15.83,1.5,2.08,1.53,50.0,60.0,45.0,462.96,355.6
BORR-0073,"Chaudhari, Bedi and Zachariah",Steel,Watch,Q1,195.76,12.86,1.5,2.08,1.53,50.0,60.0,45.0,40.57,44.96
BORR-0074,Chander and Sons,Chemicals,Watch,Q1,886.74,14.36,1.5,2.08,1.53,50.0,60.0,45.0,239.03,413.79
BORR-0075,Ray Group,Renewable Energy,Healthy,Q1,55.79,10.64,1.5,2.08,1.53,50.0,60.0,45.0,8.66,22.71
BORR-0076,Kala-Rattan,Trading,Healthy,Q1,445.85,15.22,1.5,2.08,1.53,50.0,60.0,45.0,158.14,140.78
BORR-0077,Gala Group,Auto Components,Healthy,Q1,217.41,12.87,1.5,2.08,1.53,50.0,60.0,45.0,92.33,95.12
BORR-0078,Ramakrishnan LLC,Steel,Healthy,Q1,142.06,13.23,1.5,2.08,1.53,50.0,60.0,45.0,52.86,40.73
BORR-0079,Mangal-Sampath,Infrastructure,Healthy,Q1,223.92,11.3,1.5,2.08,1.53,50.0,60.0,45.0,47.86,93.15
BORR-0080,"Sur, Dubey and Gupta",Trading,Watch,Q1,57.45,14.72,1.5,2.08,1.53,50.0,60.0,45.0,25.6,11.31
BORR-0081,Kalla-Bhardwaj,Logistics,Stressed,Q1,170.59,15.01,1.5,2.08,1.53,50.0,60.0,45.0,98.78,58.0
BORR-0082,"Bhat, Murthy and Bhandari",Chemicals,Healthy,Q1,289.15,12.38,1.5,2.08,1.53,50.0,60.0,45.0,163.5,101.24
BORR-0083,Sood PLC,Engineering,Watch,Q1,812.64,13.19,1.5,2.08,1.53,50.0,60.0,45.0,222.01,264.96
BORR-0084,"Dugar, Bhandari and Trivedi",Renewable Energy,Healthy,Q1,110.09,13.41,1.5,2.08,1.53,50.0,60.0,45.0,79.06,48.64
BORR-0085,Grewal Inc,Manufacturing,Stressed,Q1,94.06,14.32,1.5,2.08,1.53,50.0,60.0,45.0,27.37,28.71
BORR-0086,"Bir, Keer and Raval",Textiles,Watch,Q1,120.04,13.97,1.5,2.08,1.53,50.0,60.0,45.0,58.4,40.38
BORR-0087,Koshy PLC,Renewable Energy,Healthy,Q1,491.25,10.94,1.5,2.08,1.53,50.0,60.0,45.0,103.03,114.79
BORR-0088,"Baral, Bumb and Saini",Renewable Energy,Watch,Q1,264.86,14.05,1.5,2.08,1.53,50.0,60.0,45.0,156.36,113.01
BORR-0089,"Virk, Mutti and Lal",Textiles,Healthy,Q1,101.31,11.66,1.5,2.08,1.53,50.0,60.0,45.0,50.34,32.57
BORR-0090,Murthy and Sons,Construction,Watch,Q1,307.77,12.68,1.5,2.08,1.53,50.0,60.0,45.0,167.68,88.64
BORR-0091,Randhawa-Deep,Logistics,Healthy,Q1,196.53,12.99,1.5,2.08,1.53,50.0,60.0,45.0,59.21,61.24
BORR-0092,"Mital, Shankar and Mutti",Logistics,Healthy,Q1,499.67,11.23,1.5,2.08,1.53,50.0,60.0,45.0,302.81,93.62
BORR-0093,Andra Group,Renewable Energy,Healthy,Q1,92.84,11.67,1.5,2.08,1.53,50.0,60.0,45.0,51.15,37.61
BORR-0094,"Chaudhry, Borah and Yogi",Food Processing,Watch,Q1,142.7,11.7,1.5,2.08,1.53,50.0,60.0,45.0,88.57,23.46
BORR-0095,Toor LLC,Engineering,Watch,Q1,139.76,12.52,1.5,2.08,1.53,50.0,60.0,45.0,71.57,47.81
BORR-0096,Palla Inc,Construction,Stressed,Q1,56.71,14.18,1.5,2.08,1.53,50.0,60.0,45.0,12.24,11.88
BORR-0097,Pingle LLC,Infrastructure,Healthy,Q1,253.92,10.64,1.5,2.08,1.53,50.0,60.0,45.0,186.83,116.45
BORR-0098,Sarma PLC,Manufacturing,Healthy,Q1,251.02,12.16,1.5,2.08,1.53,50.0,60.0,45.0,113.36,57.06
BORR-0099,"Mittal, Wadhwa and Anand",Renewable Energy,Healthy,Q1,195.62,13.98,1.5,2.08,1.53,50.0,60.0,45.0,121.39,31.98
BORR-0100,"Mistry, Chawla and Desai",Power,Watch,Q1,147.34,15.27,1.5,2.08,1.53,50.0,60.0,45.0,64.28,23.48
BORR-0101,D’Alia-Chhabra,Construction,Watch,Q1,55.94,12.55,1.5,2.08,1.53,50.0,60.0,45.0,30.1,16.02
BORR-0102,"Dugal, Magar and Manda",Trading,Healthy,Q1,109.93,13.69,1.5,2.08,1.53,50.0,60.0,45.0,63.89,50.33
BORR-0103,"Kade, Oza and Jani",Steel,Healthy,Q1,125.71,13.58,1.5,2.08,1.53,50.0,60.0,45.0,21.97,34.71
BORR-0104,"Lalla, Tiwari and Suresh",Chemicals,Healthy,Q1,78.98,12.01,1.5,2.08,1.53,50.0,60.0,45.0,36.87,14.16
BORR-0105,Behl-Chanda,Food Processing,Watch,Q1,176.09,13.67,1.5,2.08,1.53,50.0,60.0,45.0,53.79,74.09
BORR-0106,"Sampath, Malhotra and Basu",Trading,Healthy,Q1,293.47,13.64,1.5,2.08,1.53,50.0,60.0,45.0,90.84,104.97
BORR-0107,Nath and Sons,Trading,Healthy,Q1,1269.39,11.92,1.5,2.08,1.53,50.0,60.0,45.0,581.3,439.61
BORR-0108,"Lala, Edwin and Sathe",Pharmaceuticals,Healthy,Q1,247.74,12.92,1.5,2.08,1.53,50.0,60.0,45.0,85.52,89.37
BORR-0109,"Sane, Andra and Choudhury",Manufacturing,Healthy,Q1,246.22,11.1,1.5,2.08,1.53,50.0,60.0,45.0,153.66,43.95
BORR-0110,Dixit PLC,Food Processing,Stressed,Q1,186.42,14.5,1.5,2.08,1.53,50.0,60.0,45.0,87.58,47.42
BORR-0111,Pingle PLC,Logistics,Healthy,Q1,51.14,13.64,1.5,2.08,1.53,50.0,60.0,45.0,21.88,10.36
BORR-0112,"Divan, Sani and Datta",Textiles,Stressed,Q1,192.87,16.2,1.5,2.08,1.53,50.0,60.0,45.0,87.81,55.88
BORR-0113,Morar LLC,Engineering,Healthy,Q1,202.48,11.6,1.5,2.08,1.53,50.0,60.0,45.0,93.71,39.61
BORR-0114,Parmar and Sons,Pharmaceuticals,Healthy,Q1,2194.11,13.91,1.5,2.08,1.53,50.0,60.0,45.0,1463.1,378.34
BORR-0115,"Krish, Chauhan and Pandya",Construction,Healthy,Q1,153.02,13.54,1.5,2.08,1.53,50.0,60.0,45.0,50.15,51.62
BORR-0116,"Ray, Dubey and Khalsa",Food Processing,Healthy,Q1,235.14,12.23,1.5,2.08,1.53,50.0,60.0,45.0,49.3,103.35
BORR-0117,Goel Group,Pharmaceuticals,Healthy,Q1,171.49,13.94,1.5,2.08,1.53,50.0,60.0,45.0,116.68,46.26
BORR-0118,Gola Ltd,Renewable Energy,Healthy,Q1,62.01,11.32,1.5,2.08,1.53,50.0,60.0,45.0,21.25,9.93
BORR-0119,Sabharwal-Kothari,Logistics,Watch,Q1,568.14,14.88,1.5,2.08,1.53,50.0,60.0,45.0,236.17,109.88
BORR-0120,Dutta-Chokshi,Textiles,Watch,Q1,423.34,13.36,1.5,2.08,1.53,50.0,60.0,45.0,277.99,138.47
BORR-0121,Barad-Singhal,Chemicals,Watch,Q1,416.86,15.13,1.5,2.08,1.53,50.0,60.0,45.0,112.54,142.74
BORR-0122,Iyengar Group,Trading,Healthy,Q1,79.8,12.44,1.5,2.08,1.53,50.0,60.0,45.0,14.57,25.57
BORR-0123,Mody-Kari,Textiles,Critical,Q1,893.22,16.8,1.5,2.08,1.53,50.0,60.0,45.0,358.24,208.21
BORR-0124,Bajwa Ltd,Infrastructure,Stressed,Q1,54.77,15.36,1.5,2.08,1.53,50.0,60.0,45.0,23.71,21.56
BORR-0125,Rastogi LLC,Textiles,Healthy,Q1,318.44,12.58,1.5,2.08,1.53,50.0,60.0,45.0,101.76,59.73
BORR-0126,Boase-Mallick,Logistics,Healthy,Q1,1841.75,13.84,1.5,2.08,1.53,50.0,60.0,45.0,328.35,447.69
BORR-0127,Upadhyay-Ratta,Trading,Healthy,Q1,61.9,14.59,1.5,2.08,1.53,50.0,60.0,45.0,42.68,26.95
BORR-0128,"Yadav, Narula and Bala",Chemicals,Healthy,Q1,115.95,13.93,1.5,2.08,1.53,50.0,60.0,45.0,21.82,47.88
BORR-0129,Lal and Sons,Pharmaceuticals,Watch,Q1,221.64,13.52,1.5,2.08,1.53,50.0,60.0,45.0,86.97,45.71
BORR-0130,"Lanka, Barad and Chopra",Power,Watch,Q1,114.59,15.96,1.5,2.08,1.53,50.0,60.0,45.0,19.66,47.76
BORR-0131,"Saraf, Pai and Murthy",Engineering,Watch,Q1,53.86,13.06,1.5,2.08,1.53,50.0,60.0,45.0,11.76,21.58
BORR-0132,Vaidya-D’Alia,Auto Components,Healthy,Q1,190.81,12.27,1.5,2.08,1.53,50.0,60.0,45.0,50.73,43.05
BORR-0133,Gupta-Kumar,Manufacturing,Healthy,Q1,59.52,12.05,1.5,2.08,1.53,50.0,60.0,45.0,48.0,26.15
BORR-0134,Sarin Inc,Infrastructure,Healthy,Q1,279.14,13.7,1.5,2.08,1.53,50.0,60.0,45.0,191.81,135.05
BORR-0135,"Yohannan, Hegde and Patla",Manufacturing,Healthy,Q1,77.63,13.81,1.5,2.08,1.53,50.0,60.0,45.0,15.2,16.48
BORR-0136,Boase-Narayanan,Steel,Healthy,Q1,859.64,14.37,1.5,2.08,1.53,50.0,60.0,45.0,309.57,221.16
BORR-0137,"Murthy, Dash and Mital",Power,Stressed,Q1,93.66,16.26,1.5,2.08,1.53,50.0,60.0,45.0,32.84,40.63
BORR-0138,"More, Rege and Narain",Steel,Healthy,Q1,138.22,12.99,1.5,2.08,1.53,50.0,60.0,45.0,48.75,55.05
BORR-0139,Merchant-Datta,Steel,Stressed,Q1,500.47,13.4,1.5,2.08,1.53,50.0,60.0,45.0,149.56,185.59
BORR-0140,Salvi Ltd,Manufacturing,Healthy,Q1,56.61,13.14,1.5,2.08,1.53,50.0,60.0,45.0,21.03,17.86
BORR-0141,Ghosh-Mitra,Auto Components,Watch,Q1,254.69,13.61,1.5,2.08,1.53,50.0,60.0,45.0,61.16,103.09
BORR-0142,Acharya-Modi,Auto Components,Watch,Q1,653.83,12.92,1.5,2.08,1.53,50.0,60.0,45.0,503.28,257.66
BORR-0143,Kade-Sani,Auto Components,Critical,Q1,59.93,15.86,1.5,2.08,1.53,50.0,60.0,45.0,13.97,21.56
BORR-0144,"Nagy, Shroff and Sathe",Steel,Healthy,Q1,222.76,14.6,1.5,2.08,1.53,50.0,60.0,45.0,158.31,74.51
BORR-0145,Kala-Vaidya,Chemicals,Healthy,Q1,226.63,9.59,1.5,2.08,1.53,50.0,60.0,45.0,166.63,36.38
BORR-0146,Gara-Chad,Logistics,Stressed,Q1,457.1,14.21,1.5,2.08,1.53,50.0,60.0,45.0,74.96,166.63
BORR-0147,Varma-Nayak,Food Processing,Healthy,Q1,56.4,14.21,1.5,2.08,1.53,50.0,60.0,45.0,13.9,23.56
BORR-0148,Keer Ltd,Manufacturing,Watch,Q1,52.64,14.64,1.5,2.08,1.53,50.0,60.0,45.0,22.37,9.67
BORR-0149,Kar-Issac,Logistics,Stressed,Q1,370.07,14.98,1.5,2.08,1.53,50.0,60.0,45.0,117.85,113.31
BORR-0150,Bakshi Inc,Renewable Energy,Watch,Q1,281.43,16.81,1.5,2.08,1.53,50.0,60.0,45.0,112.68,60.9
BORR-0151,Soman PLC,Construction,Watch,Q1,246.81,13.97,1.5,2.08,1.53,50.0,60.0,45.0,152.32,95.65
BORR-0152,Shah Group,Auto Components,Stressed,Q1,301.83,15.85,1.5,2.08,1.53,50.0,60.0,45.0,123.54,74.38
BORR-0153,"Hayer, Rajagopalan and Talwar",Food Processing,Watch,Q1,98.54,15.46,1.5,2.08,1.53,50.0,60.0,45.0,58.75,38.26
BORR-0154,Kohli-Divan,Steel,Healthy,Q1,230.86,10.59,1.5,2.08,1.53,50.0,60.0,45.0,89.53,80.19
BORR-0155,"Ahluwalia, Chhabra and Sandal",Steel,Healthy,Q1,244.79,12.95,1.5,2.08,1.53,50.0,60.0,45.0,92.6,90.4
BORR-0156,Goda Ltd,Auto Components,Healthy,Q1,90.85,14.08,1.5,2.08,1.53,50.0,60.0,45.0,50.0,33.37
BORR-0157,"Shetty, Bedi and Krish",Engineering,Healthy,Q1,1287.14,13.39,1.5,2.08,1.53,50.0,60.0,45.0,679.07,367.12
BORR-0158,Shan and Sons,Trading,Healthy,Q1,298.31,15.26,1.5,2.08,1.53,50.0,60.0,45.0,166.76,85.77
BORR-0159,Wali-Nadig,Steel,Watch,Q1,56.39,14.22,1.5,2.08,1.53,50.0,60.0,45.0,13.02,21.93
BORR-0160,Thaman-Sandhu,Manufacturing,Watch,Q1,368.84,14.1,1.5,2.08,1.53,50.0,60.0,45.0,206.19,133.33
BORR-0161,"Sehgal, Dutt and Soman",Food Processing,Healthy,Q1,73.81,13.09,1.5,2.08,1.53,50.0,60.0,45.0,46.58,30.6
BORR-0162,Lad-Kota,Auto Components,Healthy,Q1,414.2,13.35,1.5,2.08,1.53,50.0,60.0,45.0,70.35,134.24
BORR-0163,"Malhotra, Verma and Sundaram",Engineering,Watch,Q1,689.55,15.43,1.5,2.08,1.53,50.0,60.0,45.0,90.0,156.01
BORR-0164,"Khare, Maharaj and Sarraf",Renewable Energy,Healthy,Q1,79.1,11.71,1.5,2.08,1.53,50.0,60.0,45.0,53.62,27.98
BORR-0165,Mangal and Sons,Infrastructure,Stressed,Q1,569.91,18.31,1.5,2.08,1.53,50.0,60.0,45.0,332.14,138.75
BORR-0166,Nayak-Nagarajan,Renewable Energy,Watch,Q1,299.76,12.94,1.5,2.08,1.53,50.0,60.0,45.0,64.78,107.55
BORR-0167,"Buch, Devi and Dora",Renewable Energy,Healthy,Q1,467.67,11.74,1.5,2.08,1.53,50.0,60.0,45.0,78.15,98.89
BORR-0168,Rajagopal Ltd,Chemicals,Watch,Q1,1422.83,14.02,1.5,2.08,1.53,50.0,60.0,45.0,703.99,198.06
BORR-0169,Kala Inc,Textiles,Healthy,Q1,147.17,13.18,1.5,2.08,1.53,50.0,60.0,45.0,108.11,24.6
BORR-0170,Reddy-Narayanan,Trading,Healthy,Q1,85.48,10.84,1.5,2.08,1.53,50.0,60.0,45.0,50.49,28.05
BORR-0171,"Shukla, Sagar and Bhatia",Renewable Energy,Healthy,Q1,83.34,15.39,1.5,2.08,1.53,50.0,60.0,45.0,39.76,26.95
BORR-0172,Salvi Group,Trading,Healthy,Q1,75.22,13.03,1.5,2.08,1.53,50.0,60.0,45.0,39.04,12.05
BORR-0173,"Bahri, Rai and Sood",Steel,Healthy,Q1,174.86,13.0,1.5,2.08,1.53,50.0,60.0,45.0,85.56,37.96
BORR-0174,Pandey LLC,Steel,Healthy,Q1,253.88,9.34,1.5,2.08,1.53,50.0,60.0,45.0,83.75,119.13
BORR-0175,Saini-Yohannan,Infrastructure,Healthy,Q1,252.05,15.76,1.5,2.08,1.53,50.0,60.0,45.0,117.82,42.34
BORR-0176,"Kannan, Sura and Kanda",Construction,Healthy,Q1,426.43,13.24,1.5,2.08,1.53,50.0,60.0,45.0,212.79,197.24
BORR-0177,Sarin-Sunder,Construction,Watch,Q1,192.37,15.48,1.5,2.08,1.53,50.0,60.0,45.0,112.33,54.75
BORR-0178,Ramachandran LLC,Renewable Energy,Watch,Q1,868.12,15.01,1.5,2.08,1.53,50.0,60.0,45.0,134.77,270.16
BORR-0179,"Ravel, Gandhi and Sibal",Logistics,Watch,Q1,153.94,15.71,1.5,2.08,1.53,50.0,60.0,45.0,104.38,67.65
BORR-0180,Walla Inc,Food Processing,Healthy,Q1,3047.21,16.13,1.5,2.08,1.53,50.0,60.0,45.0,1924.64,444.5
BORR-0181,Bala-Chacko,Trading,Healthy,Q1,323.54,14.52,1.5,2.08,1.53,50.0,60.0,45.0,153.33,120.66
BORR-0182,"Sangha, Deshmukh and Shenoy",Renewable Energy,Healthy,Q1,83.8,11.24,1.5,2.08,1.53,50.0,60.0,45.0,51.5,11.96
BORR-0183,Bedi LLC,Food Processing,Healthy,Q1,62.88,13.79,1.5,2.08,1.53,50.0,60.0,45.0,16.15,26.96
BORR-0184,Narang-Kakar,Textiles,Watch,Q1,314.22,11.78,1.5,2.08,1.53,50.0,60.0,45.0,131.74,105.63
BORR-0185,Narain-Nazareth,Construction,Healthy,Q1,152.8,11.38,1.5,2.08,1.53,50.0,60.0,45.0,103.73,63.26
BORR-0186,Mall-Sama,Pharmaceuticals,Healthy,Q1,376.45,13.69,1.5,2.08,1.53,50.0,60.0,45.0,81.58,109.07
BORR-0187,Bumb-Singhal,Logistics,Healthy,Q1,270.2,13.36,1.5,2.08,1.53,50.0,60.0,45.0,163.51,118.0
BORR-0188,Zacharia Inc,Power,Healthy,Q1,168.65,13.22,1.5,2.08,1.53,50.0,60.0,45.0,29.97,47.23
BORR-0189,Kapur-Biswas,Pharmaceuticals,Watch,Q1,81.37,12.08,1.5,2.08,1.53,50.0,60.0,45.0,23.5,11.49
