Borrower_ID,dpd,excess_over_dp_pct,gst_turnover_variance_pct,negative_cfo_periods,current_ratio,audit_status,nclt_event,restructuring,security_cover_pct,insurance_delay_days,customer_concentration_pct,supplier_concentration_pct,sector_stress,commodity_exposure_pct,geopolitical_exposure_pct,project_delay_days,project_cost_overrun_pct,plant_shutdown_days,cyber_severity,end_use_deviation_pct,overdue_events
BORR-0030,9,7.21,-14.3,1,1.47,0,False,False,156.33,10,41.47,37.64,0,37.5,17.5,10,10.07,6,1,8.75,0
BORR-0031,3,2.82,-7.67,0,1.6,0,False,False,168.62,3,34.61,27.86,0,27.5,7.5,3,11.46,3,0,3.75,1
BORR-0032,1,4.19,0.14,0,1.85,1,False,False,171.09,3,30.09,14.44,1,27.5,7.5,2,6.91,2,0,3.75,0
BORR-0033,18,22.6,-18.8,1,1.17,2,False,False,128.36,2,51.3,44.41,0,52.5,32.5,17,27.71,5,2,16.25,0
BORR-0034,8,0.45,-3.65,0,1.93,3,True,False,168.38,1,33.54,25.11,0,27.5,7.5,3,2.49,1,0,3.75,0
BORR-0035,2,3.45,-7.06,2,1.64,0,False,False,156.07,2,32.29,24.0,1,27.5,7.5,8,9.68,0,0,3.75,1
BORR-0036,3,4.61,-5.31,1,1.99,0,False,False,155.28,2,32.15,27.85,1,27.5,7.5,2,1.43,1,1,3.75,1
BORR-0037,2,6.06,3.19,1,1.8,2,False,False,175.71,3,38.92,15.95,2,27.5,7.5,4,-6.13,4,0,3.75,0
BORR-0038,4,5.41,-6.9,0,1.86,1,False,False,160.01,4,27.94,23.91,0,27.5,7.5,10,11.11,2,1,3.75,1
BORR-0039,17,25.0,-12.14,1,1.35,1,False,False,100.6,9,49.21,51.37,0,52.5,32.5,17,15.51,8,2,16.25,1
BORR-0040,7,10.34,-11.86,0,1.93,0,False,False,161.83,2,27.73,26.79,1,27.5,7.5,3,9.86,0,0,3.75,0
BORR-0041,15,24.78,-23.73,1,1.06,0,False,False,111.61,11,53.44,43.07,2,52.5,32.5,20,20.45,12,1,16.25,1
BORR-0042,20,20.85,-28.63,0,1.37,1,False,False,106.37,6,64.45,50.23,1,52.5,32.5,12,19.11,11,0,16.25,2
BORR-0043,3,12.39,-10.11,2,1.64,0,False,False,158.05,8,40.18,30.34,1,37.5,17.5,16,11.44,8,0,8.75,0
BORR-0044,14,24.69,-19.66,2,1.19,0,False,False,114.77,11,59.2,46.62,1,52.5,32.5,17,26.93,6,0,16.25,1
BORR-0045,12,22.14,-17.74,0,1.22,1,False,False,101.25,9,58.87,44.78,0,52.5,32.5,17,22.47,8,1,16.25,1
BORR-0046,6,9.5,-9.35,1,1.85,0,False,False,105.78,7,42.17,36.43,1,37.5,17.5,11,12.34,7,0,8.75,0
BORR-0047,9,9.3,-4.27,1,1.56,1,False,False,133.17,5,41.54,37.13,0,37.5,17.5,18,5.44,5,0,8.75,2
BORR-0048,3,2.57,-7.37,0,1.96,0,False,False,140.14,1,26.55,21.64,0,27.5,7.5,3,9.42,3,0,3.75,0
BORR-0049,12,20.6,-20.69,2,1.23,0,False,False,113.52,7,57.03,53.02,3,52.5,32.5,15,20.08,14,2,16.25,0
BORR-0050,1,5.1,-7.07,0,1.74,0,False,False,156.53,3,29.5,28.39,0,27.5,7.5,3,3.98,3,0,3.75,0
BORR-0051,7,8.52,-3.05,0,1.93,0,False,False,173.99,1,23.16,30.48,0,27.5,7.5,6,0.97,4,0,3.75,0
BORR-0052,6,8.02,-11.46,0,1.31,0,False,False,143.02,5,47.25,27.8,2,37.5,17.5,6,5.7,7,1,8.75,1
BORR-0053,1,14.13,-2.96,0,1.95,0,False,False,171.04,5,25.89,23.69,0,27.5,7.5,5,-0.4,1,0,3.75,1
BORR-0054,7,1.4,-3.63,0,1.69,0,False,False,156.76,3,36.82,22.23,0,27.5,7.5,6,11.79,5,0,3.75,1
BORR-0055,4,4.53,-3.65,1,1.68,0,False,False,160.35,2,36.09,30.24,0,27.5,7.5,8,-0.57,2,0,3.75,0
BORR-0056,10,8.77,-14.04,0,1.66,0,False,False,142.95,5,39.61,27.8,1,37.5,17.5,12,8.28,7,0,8.75,0
BORR-0057,11,12.09,-8.83,0,1.45,2,False,False,139.54,6,39.34,32.87,2,37.5,17.5,9,2.56,3,0,8.75,2
BORR-0058,3,8.86,-1.27,0,1.84,0,False,False,164.38,1,30.56,23.09,0,27.5,7.5,5,-1.06,3,0,3.75,0
BORR-0059,9,14.76,-4.44,0,1.48,1,False,False,133.78,6,43.95,34.03,0,37.5,17.5,10,13.28,5,0,8.75,0
BORR-0060,12,22.18,-12.17,0,1.66,2,False,False,157.91,9,42.29,32.3,1,37.5,17.5,10,7.06,8,0,8.75,1
BORR-0061,2,0.26,-9.43,0,1.69,0,False,False,153.96,2,37.56,24.33,0,27.5,7.5,7,2.39,3,1,3.75,0
BORR-0062,6,4.76,-15.04,1,1.58,2,False,False,140.64,3,40.59,35.21,2,37.5,17.5,9,9.72,7,0,8.75,3
BORR-0063,7,2.32,-8.26,0,1.66,0,False,False,146.48,0,33.88,35.19,0,27.5,7.5,8,6.22,5,0,3.75,0
BORR-0064,2,5.47,-7.77,0,1.96,1,False,False,181.15,5,39.2,28.39,0,27.5,7.5,6,4.81,2,0,3.75,1
BORR-0065,3,4.47,-6.53,0,1.72,0,False,False,155.32,6,32.46,17.63,0,27.5,7.5,6,2.69,0,0,3.75,0
BORR-0066,0,5.86,-3.27,0,1.63,0,False,False,154.84,5,34.44,21.38,0,27.5,7.5,6,3.38,0,0,3.75,0
BORR-0067,1,5.84,-10.16,0,1.68,0,False,False,166.0,0,25.6,23.19,0,27.5,7.5,6,2.15,2,0,3.75,0
BORR-0068,3,12.74,-7.64,0,1.79,0,False,False,143.39,1,32.32,39.84,1,27.5,7.5,6,6.89,2,0,3.75,0
BORR-0069,8,13.33,-7.8,0,2.01,0,False,False,162.43,3,30.05,24.12,0,27.5,7.5,6,2.35,1,0,3.75,0
BORR-0070,5,20.64,-4.38,2,1.72,3,False,False,135.32,8,38.19,25.56,2,37.5,17.5,9,13.56,4,0,8.75,0
BORR-0071,3,-2.19,-4.06,0,1.88,0,False,False,176.07,4,25.03,24.38,0,27.5,7.5,2,9.53,3,0,3.75,0
BORR-0072,6,11.99,-4.85,0,1.58,2,False,False,128.77,4,34.68,39.56,0,37.5,17.5,10,-1.16,4,1,8.75,2
BORR-0073,9,10.06,-7.44,0,1.46,0,False,False,167.11,6,32.58,21.87,0,37.5,17.5,12,4.93,2,1,8.75,0
BORR-0074,3,14.42,-12.94,0,1.25,0,False,False,153.26,3,42.36,31.84,0,37.5,17.5,18,14.68,9,0,8.75,0
BORR-0075,5,7.76,-2.53,0,2.03,1,False,False,158.2,2,37.8,26.64,0,27.5,7.5,6,2.07,5,0,3.75,0
BORR-0076,3,-0.3,-7.93,1,2.09,0,False,False,157.12,4,32.88,30.86,0,27.5,7.5,5,3.52,2,0,3.75,0
BORR-0077,1,5.7,-0.74,1,1.8,1,False,False,190.92,1,23.68,37.39,1,27.5,7.5,3,5.41,4,1,3.75,0
BORR-0078,3,10.86,-2.06,0,1.89,0,False,False,162.63,4,33.39,27.86,1,27.5,7.5,4,-5.92,1,0,3.75,0
BORR-0079,3,8.29,-4.8,1,2.2,0,False,True,182.81,3,34.94,21.71,0,27.5,7.5,2,2.32,4,0,3.75,0
BORR-0080,5,4.86,-12.27,1,1.43,0,False,False,154.72,4,41.47,30.71,0,37.5,17.5,10,10.26,5,2,8.75,0
BORR-0081,11,27.42,-17.33,2,1.24,1,False,False,134.7,9,64.55,49.57,2,52.5,32.5,15,15.79,10,0,16.25,2
BORR-0082,8,9.29,-3.05,0,1.83,0,False,False,159.25,2,31.69,20.38,0,27.5,7.5,6,0.79,3,0,3.75,1
BORR-0083,8,9.66,-7.95,0,1.39,2,False,False,133.76,6,47.1,38.73,0,37.5,17.5,12,5.78,5,0,8.75,0
BORR-0084,3,1.06,-8.86,0,1.82,0,False,False,167.91,6,25.15,28.59,1,27.5,7.5,3,9.42,1,0,3.75,0
BORR-0085,13,29.33,-16.27,7,1.22,1,False,False,120.25,5,49.62,40.08,1,52.5,32.5,16,15.33,8,0,16.25,1
BORR-0086,11,13.93,-15.73,1,1.55,0,True,False,147.48,3,40.96,32.59,0,37.5,17.5,8,15.81,9,0,8.75,1
BORR-0087,2,7.0,-3.83,0,2.13,0,False,False,160.42,3,34.93,20.12,1,27.5,7.5,5,8.26,3,1,3.75,1
BORR-0088,11,9.31,-13.47,1,1.52,0,False,False,127.48,5,46.39,30.23,1,37.5,17.5,8,18.02,3,0,8.75,1
BORR-0089,7,-1.41,2.04,0,1.93,0,False,False,166.25,6,39.51,26.57,1,27.5,7.5,3,3.34,2,1,3.75,0
BORR-0090,5,11.35,-5.79,0,1.53,1,False,False,159.55,2,37.81,39.61,1,37.5,17.5,11,10.17,8,1,8.75,1
BORR-0091,3,11.61,-6.14,1,2.04,0,False,False,169.09,2,28.47,26.22,0,27.5,7.5,2,-1.39,2,0,3.75,0
BORR-0092,10,13.06,-7.49,0,1.91,0,False,False,170.62,1,30.76,20.42,0,27.5,7.5,5,5.68,2,0,3.75,0
BORR-0093,10,0.73,0.57,0,1.71,0,False,False,174.76,2,33.56,31.06,0,27.5,7.5,4,-1.33,4,0,3.75,0
BORR-0094,6,19.6,-12.51,1,1.55,0,False,False,148.35,5,49.95,34.31,1,37.5,17.5,7,5.43,5,0,8.75,1
BORR-0095,7,17.27,-7.76,2,1.47,0,False,False,146.54,4,33.6,20.66,1,37.5,17.5,12,10.41,3,1,8.75,1
BORR-0096,18,19.14,-20.93,0,1.36,0,False,False,110.25,9,50.99,38.03,4,52.5,32.5,20,22.78,10,1,16.25,3
BORR-0097,2,11.44,-5.79,0,1.9,0,False,False,172.68,1,30.23,28.35,0,27.5,7.5,3,1.7,5,0,3.75,0
BORR-0098,4,2.6,-0.96,1,1.94,0,False,False,156.92,1,34.15,24.74,0,27.5,7.5,2,-2.17,1,0,3.75,0
BORR-0099,4,11.14,4.67,2,1.6,0,False,False,155.85,1,30.25,23.02,0,27.5,7.5,6,3.26,1,0,3.75,0
BORR-0100,12,6.6,-9.13,4,1.58,1,False,False,149.6,4,45.32,33.58,2,37.5,17.5,9,9.08,2,0,8.75,1
BORR-0101,4,8.8,-11.05,1,1.76,0,False,False,149.51,9,41.02,35.39,1,37.5,17.5,9,6.19,6,0,8.75,1
BORR-0102,2,5.74,-6.84,0,1.97,1,False,False,170.85,2,32.03,24.85,0,27.5,7.5,5,5.99,1,1,3.75,0
BORR-0103,5,3.72,0.55,0,1.69,0,False,False,158.09,1,28.11,24.5,0,27.5,7.5,2,8.59,2,0,3.75,0
BORR-0104,6,3.35,-7.08,0,1.82,1,False,False,166.84,2,34.8,22.54,0,27.5,7.5,8,-2.39,2,0,3.75,0
BORR-0105,9,17.06,-18.87,0,1.48,0,False,False,128.6,5,43.69,34.44,0,37.5,17.5,10,20.87,2,0,8.75,1
BORR-0106,5,7.42,-4.24,1,1.92,0,False,False,165.15,1,33.43,22.29,0,27.5,7.5,6,4.38,8,1,3.75,0
BORR-0107,2,7.27,-1.95,0,2.1,0,False,False,166.25,5,38.28,22.46,0,27.5,7.5,6,8.96,1,0,3.75,0
BORR-0108,3,-1.14,3.76,0,1.71,0,False,False,172.53,4,35.67,26.18,0,27.5,7.5,7,10.98,5,0,3.75,0
BORR-0109,5,2.57,-2.13,0,1.91,0,False,False,158.24,2,28.79,26.89,1,27.5,7.5,7,1.47,1,0,3.75,0
BORR-0110,17,18.04,-19.44,1,1.35,0,False,False,113.74,8,51.18,38.73,1,52.5,32.5,20,20.63,8,2,16.25,3
BORR-0111,2,0.5,-3.89,1,1.84,0,False,False,150.88,4,32.05,23.26,1,27.5,7.5,6,12.05,3,0,3.75,2
BORR-0112,22,7.92,-12.04,2,1.17,2,False,False,129.66,10,59.71,33.95,3,52.5,32.5,19,21.92,7,0,16.25,1
BORR-0113,3,11.16,-1.97,0,2.03,0,False,False,165.85,3,29.23,20.18,0,27.5,7.5,5,4.63,4,0,3.75,1
BORR-0114,5,5.92,1.03,0,1.96,0,False,False,155.05,1,30.62,16.22,0,27.5,7.5,2,-2.09,2,0,3.75,0
BORR-0115,5,3.55,5.26,0,1.83,0,False,False,157.44,0,26.4,24.12,0,27.5,7.5,3,6.59,0,0,3.75,0
BORR-0116,4,-9.92,-7.5,0,2.01,0,False,False,169.14,3,32.96,24.9,0,27.5,7.5,4,8.13,0,1,3.75,1
BORR-0117,3,0.77,-6.42,1,1.56,0,False,False,143.7,1,28.47,30.81,0,27.5,7.5,8,11.11,2,0,3.75,1
BORR-0118,2,2.49,3.85,0,2.15,0,False,False,156.25,3,36.13,32.37,1,27.5,7.5,7,3.35,0,0,3.75,0
BORR-0119,7,5.03,-10.4,0,1.74,1,False,False,144.06,5,39.28,33.25,1,37.5,17.5,12,17.59,6,1,8.75,1
BORR-0120,10,5.73,-10.86,1,1.73,1,False,False,141.79,2,40.55,33.75,0,37.5,17.5,12,7.38,4,1,8.75,0
BORR-0121,6,10.31,-11.74,1,1.32,0,False,False,155.37,7,40.59,29.97,0,37.5,17.5,7,9.83,5,0,8.75,2
BORR-0122,2,1.66,-4.42,0,1.74,0,False,False,173.35,3,25.01,20.53,1,27.5,7.5,9,-0.13,3,0,3.75,0
BORR-0123,24,28.12,-36.63,2,0.8,0,False,False,85.09,10,62.73,53.89,0,65.0,45.0,31,27.09,11,1,22.5,0
BORR-0124,12,22.94,-20.95,2,1.22,0,False,False,118.81,8,54.46,44.53,1,52.5,32.5,19,30.68,9,1,16.25,0
BORR-0125,5,10.4,-6.86,1,1.93,0,False,False,167.07,0,20.8,21.53,0,27.5,7.5,1,4.58,2,0,3.75,1
BORR-0126,2,6.15,-11.55,1,1.83,1,False,False,169.98,4,29.1,18.23,0,27.5,7.5,3,9.25,3,0,3.75,0
BORR-0127,9,6.88,-1.56,1,1.9,0,False,False,173.7,3,24.9,33.22,1,27.5,7.5,3,7.87,1,1,3.75,0
BORR-0128,0,6.06,-2.77,0,1.77,0,False,False,169.96,2,39.16,24.04,0,27.5,7.5,4,6.24,5,0,3.75,0
BORR-0129,4,16.2,-7.9,0,1.36,1,False,False,148.5,10,40.0,37.81,0,37.5,17.5,9,17.98,6,1,8.75,0
BORR-0130,12,17.44,-4.64,1,1.5,1,False,False,141.17,5,42.92,34.09,1,37.5,17.5,12,18.51,4,0,8.75,0
BORR-0131,12,11.87,-10.1,1,1.27,0,False,False,139.57,6,40.23,25.28,1,37.5,17.5,12,12.55,8,1,8.75,0
BORR-0132,3,3.12,-11.05,0,1.89,0,False,False,173.33,1,34.69,31.74,0,27.5,7.5,5,-0.94,0,0,3.75,2
BORR-0133,7,10.08,-8.12,1,1.69,0,False,False,164.28,3,32.35,31.2,0,27.5,7.5,5,6.76,2,0,3.75,0
BORR-0134,1,3.92,-0.21,0,1.95,0,False,False,164.6,1,38.69,24.34,1,27.5,7.5,7,1.87,2,0,3.75,0
BORR-0135,4,-0.58,7.52,0,1.92,1,False,False,172.69,2,27.11,21.9,0,27.5,7.5,1,10.13,2,0,3.75,0
BORR-0136,6,13.26,-8.69,1,1.72,0,False,False,185.68,2,40.31,23.31,0,27.5,7.5,8,8.27,3,0,3.75,0
BORR-0137,15,18.33,-18.78,3,1.17,0,False,False,120.72,8,49.65,47.0,2,52.5,32.5,18,19.37,8,0,16.25,3
BORR-0138,4,0.28,-0.8,1,1.92,0,False,False,168.29,0,41.59,26.12,1,27.5,7.5,3,-4.63,1,0,3.75,0
BORR-0139,15,28.89,-8.49,0,1.12,1,False,False,127.9,7,57.73,38.95,2,52.5,32.5,20,23.8,10,0,16.25,2
BORR-0140,5,1.09,-2.27,0,1.55,0,False,False,169.66,2,26.12,21.37,0,27.5,7.5,6,3.26,0,0,3.75,0
BORR-0141,11,9.43,-16.58,1,1.58,0,False,False,134.41,4,38.66,30.81,0,37.5,17.5,12,17.89,4,1,8.75,1
BORR-0142,7,7.02,-9.22,2,1.53,2,False,False,143.08,5,43.11,25.85,1,37.5,17.5,16,9.39,3,0,8.75,0
BORR-0143,19,25.07,-32.84,0,0.99,2,False,False,111.07,10,55.56,51.65,1,65.0,45.0,22,27.86,20,2,22.5,1
BORR-0144,3,-5.65,-10.1,0,1.71,0,False,False,161.76,2,30.42,29.06,0,27.5,7.5,8,7.86,1,1,3.75,1
BORR-0145,1,8.93,-6.14,0,1.76,0,False,False,164.17,1,30.89,30.34,0,27.5,7.5,4,4.02,2,0,3.75,0
BORR-0146,20,32.86,-23.0,2,1.23,0,False,False,103.37,10,61.28,40.88,0,52.5,32.5,26,21.44,11,1,16.25,2
BORR-0147,0,2.83,-4.64,1,1.71,0,False,False,164.55,1,26.45,17.2,1,27.5,7.5,8,4.62,4,0,3.75,1
BORR-0148,8,19.18,-12.3,2,1.72,0,False,False,152.69,8,44.7,27.74,0,37.5,17.5,8,8.83,3,0,8.75,0
BORR-0149,12,23.24,-23.23,0,1.32,2,False,False,119.94,13,52.6,32.61,1,52.5,32.5,14,16.0,16,3,16.25,0
BORR-0150,10,6.42,-7.06,0,1.73,2,False,False,127.42,3,43.6,28.4,1,37.5,17.5,12,7.35,6,0,8.75,3
BORR-0151,10,13.58,-7.31,1,1.85,0,False,False,148.23,7,39.98,33.84,1,37.5,17.5,20,-3.41,7,0,8.75,1
BORR-0152,25,22.31,-21.18,0,1.27,1,False,False,119.49,10,62.99,48.8,0,52.5,32.5,17,24.98,6,1,16.25,3
BORR-0153,13,5.23,-5.95,2,1.65,2,False,False,134.21,2,42.72,34.04,0,37.5,17.5,9,10.53,7,0,8.75,0
BORR-0154,3,9.75,-8.13,0,1.73,0,False,False,155.88,6,35.8,26.89,0,27.5,7.5,8,5.27,0,0,3.75,1
BORR-0155,3,0.12,-3.65,0,1.82,1,False,False,170.83,3,34.97,23.09,0,27.5,7.5,1,-1.74,1,0,3.75,1
BORR-0156,2,9.18,-4.82,0,1.64,1,False,False,171.44,2,43.89,25.74,0,27.5,7.5,1,3.2,2,0,3.75,0
BORR-0157,2,5.78,-1.6,1,1.97,1,False,False,163.75,1,30.27,28.58,0,27.5,7.5,9,8.6,2,0,3.75,0
BORR-0158,5,0.38,1.86,0,1.98,0,False,False,149.64,1,23.92,22.32,2,27.5,7.5,4,5.89,1,1,3.75,1
BORR-0159,6,5.84,-10.86,1,1.7,0,False,False,125.97,3,36.76,23.19,1,37.5,17.5,14,0.63,5,0,8.75,0
BORR-0160,6,6.53,-5.11,1,1.43,0,False,False,157.28,4,32.02,31.35,1,37.5,17.5,13,22.22,8,2,8.75,0
BORR-0161,4,11.23,-2.34,0,2.06,0,False,True,161.99,3,27.26,25.15,0,27.5,7.5,6,6.82,0,0,3.75,1
BORR-0162,7,11.0,-3.09,0,1.89,1,False,False,184.21,4,31.99,22.71,0,27.5,7.5,6,0.76,2,0,3.75,0
BORR-0163,11,12.72,-13.42,0,1.5,0,False,False,135.12,10,42.32,26.99,0,37.5,17.5,5,17.0,4,1,8.75,1
BORR-0164,3,5.54,-1.45,1,1.8,0,False,False,152.62,1,35.03,26.69,0,27.5,7.5,7,7.15,0,0,3.75,1
BORR-0165,13,26.0,-28.04,1,1.07,1,False,False,126.48,9,52.82,43.56,3,52.5,32.5,23,23.78,12,0,16.25,2
BORR-0166,13,12.18,-4.38,0,1.59,1,False,False,149.44,7,46.86,32.83,1,37.5,17.5,11,3.94,11,0,8.75,0
BORR-0167,2,-3.64,1.23,0,1.74,1,False,False,165.97,1,30.66,24.08,0,27.5,7.5,10,10.28,3,0,3.75,0
BORR-0168,7,17.88,-12.65,0,1.59,0,False,False,141.01,6,41.14,33.7,1,37.5,17.5,12,12.07,4,0,8.75,3
BORR-0169,2,-4.06,-7.17,0,1.52,0,False,False,153.87,2,37.9,31.27,1,27.5,7.5,4,0.78,4,0,3.75,1
BORR-0170,3,1.12,0.52,0,2.01,0,False,False,157.19,3,29.31,22.45,1,27.5,7.5,4,3.62,2,1,3.75,0
BORR-0171,5,4.35,-4.98,1,1.68,0,False,False,160.04,1,27.62,20.92,1,27.5,7.5,2,-2.3,1,1,3.75,0
BORR-0172,5,4.8,-6.65,2,1.75,0,False,False,173.27,3,37.88,24.34,0,27.5,7.5,7,12.89,5,0,3.75,0
BORR-0173,3,17.96,-12.05,0,1.59,0,False,False,154.92,2,34.59,30.22,1,27.5,7.5,9,1.38,3,0,3.75,0
BORR-0174,6,3.87,-14.32,1,1.72,1,False,False,167.91,2,44.84,25.97,0,27.5,7.5,4,0.43,1,0,3.75,0
BORR-0175,4,8.77,-2.95,0,1.86,0,False,False,178.18,5,35.34,16.14,0,27.5,7.5,5,11.7,3,0,3.75,0
BORR-0176,6,7.01,-2.59,0,1.97,0,False,False,173.3,6,36.38,19.64,0,27.5,7.5,3,12.84,1,0,3.75,0
BORR-0177,11,17.01,-7.36,2,1.84,1,False,False,157.1,4,41.17,32.21,1,37.5,17.5,9,18.15,11,0,8.75,0
BORR-0178,4,16.72,-7.29,2,1.66,0,False,False,138.19,2,37.45,29.56,1,37.5,17.5,10,7.89,3,1,8.75,1
BORR-0179,10,7.65,-2.92,0,1.63,0,False,False,155.01,5,47.58,33.82,1,37.5,17.5,11,15.04,6,0,8.75,0
BORR-0180,3,9.23,-1.47,1,1.9,0,False,False,146.56,2,27.65,29.34,0,27.5,7.5,5,8.45,2,0,3.75,0
BORR-0181,3,2.58,-2.77,0,1.59,0,False,False,151.95,3,35.59,20.55,0,27.5,7.5,9,12.29,0,0,3.75,1
BORR-0182,2,-5.72,-1.35,0,1.58,0,False,False,198.01,4,42.15,23.48,0,27.5,7.5,7,4.93,3,0,3.75,0
BORR-0183,0,9.79,0.95,1,2.12,0,False,False,158.11,2,35.33,29.81,0,27.5,7.5,3,7.84,2,1,3.75,2
BORR-0184,5,9.27,-16.23,1,1.71,0,False,False,154.47,7,44.85,35.06,2,37.5,17.5,12,12.45,7,0,8.75,0
BORR-0185,3,5.55,-0.36,0,2.15,1,False,False,171.06,3,29.65,25.7,0,27.5,7.5,8,2.7,1,0,3.75,0
BORR-0186,3,4.01,-3.0,1,1.52,0,False,False,154.6,2,30.11,36.79,0,27.5,7.5,2,0.78,3,0,3.75,0
BORR-0187,4,6.87,-1.32,0,1.76,0,False,False,172.45,4,32.31,16.57,0,27.5,7.5,6,12.43,2,0,3.75,0
BORR-0188,2,10.03,-2.29,0,1.85,0,False,False,164.62,4,35.53,33.83,2,27.5,7.5,7,6.62,4,1,3.75,0
BORR-0189,11,12.81,-10.27,1,1.45,1,False,False,146.11,10,40.79,41.04,0,37.5,17.5,6,4.73,6,0,8.75,2
BORR-0190,4,0.85,-4.4,0,1.66,0,False,False,164.53,2,27.75,31.72,0,27.5,7.5,5,1.01,0,0,3.75,2
BORR-0191,7,1.9,6.06,0,2.02,0,False,False,164.53,2,32.79,23.26,0,27.5,7.5,5,2.98,1,1,3.75,0
BORR-0192,5,5.98,9.18,0,1.91,0,False,False,158.7,3,33.49,18.1,0,27.5,7.5,5,8.62,4,1,3.75,0
BORR-0193,6,11.83,-7.35,0,1.92,0,False,False,169.07,1,25.29,19.4,0,27.5,7.5,7,5.17,3,0,3.75,0
BORR-0194,4,-0.49,-6.21,0,1.81,1,False,False,159.06,2,29.87,16.11,0,27.5,7.5,4,12.59,4,0,3.75,0
