bank_utilization_pct,adhoc_limit_requests,credit_limit_reduction_pct,payment_defaults,non_core_repayment_pct,stock_variance_pct,sales_change_pct,ebitda_margin_change_pct,debtor_days_change,inventory_days_change,creditor_days_change,provision_change_pct,cma_variance_pct,unsecured_loan_change_pct,finance_cost_growth_gap_pct,lc_events,bg_events,rating_downgrade_notches,financial_performance_change_pct,auditor_change,management_change,promoter_pledge_pct,promoter_holding_decline_pct,related_party_change_pct,group_stress,statutory_delays,regulatory_event,litigation_cases,business_model_change,sector_growth_gap_pct,news_severity,complaint_severity,workforce_disruption_days,capacity_utilization_pct,site_visit_severity,round_tripping,esg_severity,carbon_emission_change_pct,depreciation_change_pct,inventory_valuation_change_pct,dscr,debt_to_tnw,current_ratio,Borrower_ID
55.05,2,10.23,1,33.18,10.25,0.54,-2.99,17.98,17.11,15.49,13.92,16.95,26.74,4.8,0,1,1,-6.91,False,False,18.37,7.34,0.0,False,2,False,0,False,3.06,2,0,4,73.36,0,False,1,3.3,17.3,16.36,1.63,1.84,1.51,BORR-0018
52.87,0,1.85,1,10.25,7.28,-0.51,-0.3,11.89,15.88,7.57,18.36,7.46,22.4,1.43,0,0,0,5.25,False,False,1.04,6.82,2.74,False,0,False,0,False,11.97,0,0,1,88.37,1,False,0,0.0,0.17,5.45,1.97,1.1,2.06,BORR-0019
56.89,0,0.0,0,7.58,0.0,-6.47,2.4,11.88,0.68,10.58,26.99,16.34,8.6,1.65,0,1,1,-3.18,False,False,13.75,3.01,17.38,False,0,False,0,False,3.44,0,0,0,84.27,1,False,1,10.42,2.13,5.6,2.4,1.97,1.9,BORR-0020
77.69,1,13.6,0,34.3,14.45,-12.97,-3.45,14.34,15.54,13.51,59.52,24.83,45.81,9.25,2,3,2,-19.11,False,False,40.62,12.54,10.12,False,2,False,1,False,17.93,0,2,6,50.27,2,False,2,23.41,19.24,25.89,1.47,2.92,1.34,BORR-0021
58.99,1,1.37,0,2.43,8.64,-4.14,0.27,6.1,5.88,-9.99,20.95,11.28,17.98,0.0,0,0,0,-8.44,False,False,12.22,5.38,2.62,False,0,False,1,False,11.19,1,0,3,85.73,1,False,0,11.29,0.0,15.96,1.75,1.54,1.72,BORR-0022
52.18,2,4.64,0,5.11,9.82,3.83,-3.66,11.53,10.86,3.62,26.7,6.94,9.26,5.2,0,0,0,-3.67,False,False,4.57,11.76,0.0,False,0,False,0,False,3.85,0,0,2,88.16,0,False,0,4.06,0.0,0.0,2.18,2.18,2.04,BORR-0023
65.32,3,10.79,0,16.71,8.06,-6.63,-2.87,8.15,5.29,6.13,31.64,9.85,0.0,15.48,1,0,0,-9.42,False,True,20.2,3.15,17.63,False,1,False,0,False,0.79,1,1,0,76.45,2,True,2,16.25,2.52,17.93,1.61,1.97,1.73,BORR-0024
56.24,0,0.0,1,1.36,6.39,-10.35,3.09,-2.75,7.73,11.07,14.67,6.63,6.7,6.83,0,0,0,-4.49,False,False,16.3,0.0,9.86,False,0,False,0,False,5.74,0,0,3,84.76,0,False,0,2.49,0.0,1.3,1.86,1.39,1.72,BORR-0025
52.67,1,8.16,0,8.2,0.0,-1.88,1.26,-2.93,18.63,9.35,0.69,7.76,13.58,7.07,0,0,0,-8.32,False,False,9.41,11.92,5.2,False,0,False,0,False,2.41,0,2,2,76.21,0,False,1,10.28,7.91,0.0,1.8,1.24,1.8,BORR-0026
52.94,0,6.54,0,26.11,0.0,1.35,-1.14,8.76,5.24,2.92,15.3,4.41,19.66,10.76,0,0,0,-0.75,False,False,11.68,0.0,7.71,False,0,False,1,False,5.69,2,0,1,70.62,0,False,0,6.98,7.54,6.09,1.61,1.26,1.4,BORR-0027
53.97,0,0.0,0,12.5,0.17,-1.58,-2.58,6.25,0.74,2.71,4.91,2.07,11.02,1.79,0,0,2,1.0,False,False,1.58,0.0,14.51,False,0,False,1,False,2.58,0,1,1,77.39,0,False,0,2.4,6.96,0.0,2.01,1.45,1.92,BORR-0028
53.1,0,0.0,1,0.0,4.8,3.68,-2.93,-11.67,1.69,-1.0,0.0,10.74,10.07,15.07,0,0,1,-9.35,False,False,8.56,8.61,18.08,False,1,False,0,False,13.34,0,0,0,83.69,0,False,0,19.42,6.18,2.91,1.81,1.84,1.69,BORR-0029
55.86,2,12.93,0,20.54,12.04,-1.32,-5.31,11.73,14.5,6.6,27.52,25.97,10.17,12.79,2,2,2,-10.57,False,False,16.8,2.78,0.0,False,0,False,2,False,9.37,2,4,6,72.87,3,False,0,15.5,5.74,7.45,1.79,2.42,1.62,BORR-0030
54.04,0,11.51,0,12.2,0.0,0.77,-0.44,17.07,10.64,4.89,0.0,6.42,0.0,2.15,0,0,0,-0.81,False,False,6.43,0.0,9.58,False,0,False,1,False,14.84,1,1,1,86.86,1,False,0,3.7,7.95,7.87,1.64,1.89,2.09,BORR-0031
48.75,0,0.0,1,18.3,2.24,13.41,-2.33,8.23,17.59,22.05,35.27,18.82,18.24,10.94,0,1,0,-4.6,False,False,6.73,7.48,14.66,False,1,False,0,False,3.05,0,0,0,78.82,0,False,0,0.0,14.27,13.38,2.09,1.38,1.69,BORR-0032
75.64,2,18.44,1,20.13,18.86,-32.77,-4.86,37.51,21.19,23.05,39.52,24.07,41.9,13.16,0,2,2,-16.51,False,False,34.01,15.51,28.25,True,1,False,0,False,25.92,1,0,6,58.12,0,False,1,21.39,2.88,23.78,1.37,2.87,1.3,BORR-0033
55.08,1,0.0,0,2.62,0.0,-0.53,-3.87,26.07,5.89,8.78,0.0,5.49,3.73,2.44,0,1,0,-5.23,False,False,9.76,5.9,21.09,False,0,False,0,False,0.0,2,0,1,82.96,0,False,0,16.98,5.29,1.7,1.96,1.26,1.93,BORR-0034
48.95,0,0.45,1,10.08,3.74,-6.54,-4.33,13.81,4.63,4.56,49.41,10.86,0.48,3.3,2,0,0,1.99,False,False,10.81,10.84,16.41,False,0,False,1,False,9.1,0,0,1,81.58,0,False,1,3.47,4.0,0.0,1.83,1.51,1.86,BORR-0035
53.71,0,2.6,1,11.21,0.0,-1.5,-1.57,14.64,14.75,26.72,16.75,11.1,9.94,3.85,0,1,0,-8.78,False,False,14.7,10.59,6.61,False,0,False,0,False,13.86,0,0,2,83.14,0,False,0,1.53,0.0,10.52,2.23,0.99,2.02,BORR-0036
51.98,1,9.13,0,0.0,10.94,-7.75,-0.8,9.02,3.18,10.69,3.56,15.87,0.0,7.45,0,0,0,5.94,False,False,14.14,0.0,12.93,False,0,False,0,False,9.92,1,0,0,74.73,1,False,0,0.0,2.32,5.18,2.04,1.51,1.94,BORR-0037
50.32,0,3.98,1,10.02,9.44,-8.19,0.12,3.66,7.97,0.83,0.0,9.05,0.0,4.28,0,0,0,1.0,False,False,17.55,3.48,6.23,False,1,False,0,False,1.16,1,0,0,83.43,1,False,1,11.4,18.44,0.0,1.84,1.89,1.78,BORR-0038
81.93,3,14.15,1,16.3,15.15,-21.3,-10.01,32.64,23.9,37.83,42.14,45.8,29.07,20.71,1,0,0,-17.17,False,False,37.9,3.66,25.89,False,1,False,1,False,10.5,0,0,1,66.17,2,False,2,17.17,10.57,19.93,1.25,2.3,1.28,BORR-0039
57.88,2,0.0,0,0.0,9.16,-5.77,0.34,19.0,12.62,1.66,11.31,2.87,0.92,9.07,0,0,0,-4.81,False,False,4.06,3.34,8.08,False,0,False,0,False,6.8,0,0,1,85.46,0,False,1,9.36,8.18,6.11,1.83,0.94,1.74,BORR-0040
90.89,0,10.57,0,7.61,18.66,-13.51,-2.63,33.02,29.51,40.72,25.18,17.49,17.05,19.51,4,1,0,-9.08,False,False,46.93,17.9,15.1,False,0,True,1,False,27.51,2,0,4,66.3,1,False,0,12.62,14.87,20.0,1.06,3.08,1.21,BORR-0041
77.43,3,12.56,0,21.51,5.98,-21.98,-5.39,31.08,24.67,33.23,15.25,12.75,33.29,6.21,0,2,1,-21.57,False,False,34.63,7.69,16.01,False,2,False,1,False,31.21,1,4,2,56.15,1,True,0,23.49,23.85,15.99,1.28,2.75,1.42,BORR-0042
61.88,3,1.14,0,6.32,5.73,-14.67,-0.05,-1.34,37.35,22.45,22.29,14.77,18.86,16.41,2,0,1,-5.52,False,False,23.97,0.0,18.42,False,0,False,0,False,11.97,2,0,3,79.02,0,False,0,16.35,12.63,13.98,1.55,2.18,1.74,BORR-0043
81.27,4,8.9,1,24.54,14.04,-23.34,-4.99,28.17,22.99,30.87,28.71,23.83,42.55,21.52,1,0,1,-20.1,True,False,34.3,18.15,21.05,False,1,False,0,False,18.74,1,1,5,60.87,1,False,3,12.83,15.33,13.63,1.4,2.4,1.28,BORR-0044
79.18,0,8.26,1,24.75,14.95,-21.8,-4.89,35.85,15.81,20.74,30.7,13.97,19.81,17.93,4,1,1,-11.88,False,False,46.84,7.36,26.42,False,5,False,0,False,13.15,2,2,5,58.48,2,False,3,32.39,19.85,28.26,1.08,2.82,1.48,BORR-0045
66.55,0,1.05,1,28.62,7.36,-6.28,-3.89,14.45,12.58,5.98,28.76,10.76,13.71,5.04,0,0,0,-9.14,False,False,21.08,10.69,13.19,False,1,False,0,False,15.22,2,0,3,77.84,0,False,0,13.26,16.75,3.01,1.38,2.1,1.62,BORR-0046
63.37,2,8.22,0,13.35,0.78,-11.73,0.52,15.92,14.1,3.92,11.8,11.97,12.82,22.11,1,2,1,-5.96,False,False,24.19,6.82,11.53,False,2,False,0,False,0.0,0,1,3,84.37,0,False,0,12.55,8.1,19.33,1.23,2.51,1.4,BORR-0047
51.17,0,5.24,0,10.5,0.0,-1.26,2.85,-4.16,6.77,0.7,14.82,8.42,1.59,10.16,0,0,0,3.21,False,False,14.88,5.16,0.0,True,1,False,0,False,0.0,0,1,0,86.27,0,False,0,22.25,3.76,3.51,1.85,1.67,1.81,BORR-0048
74.25,5,19.61,1,7.51,19.46,-27.98,-3.74,29.36,15.12,22.74,43.08,26.68,33.84,36.32,2,3,1,-24.07,True,False,37.2,0.0,25.57,True,0,False,2,False,9.97,0,0,9,61.3,1,True,0,29.39,16.74,15.2,1.09,2.96,1.12,BORR-0049
47.07,0,9.09,1,14.43,0.0,-12.89,0.53,11.39,1.57,-3.08,27.75,0.0,2.02,8.21,0,0,0,-1.66,False,False,16.01,7.25,0.0,False,0,False,0,False,3.35,0,0,2,84.5,0,False,0,12.62,4.63,12.55,2.16,1.32,1.94,BORR-0050
49.82,0,5.7,0,16.51,9.69,-0.06,-1.02,-12.38,4.65,9.63,2.82,2.02,22.44,6.05,0,0,1,-1.48,False,False,18.1,4.2,5.72,False,1,False,0,False,7.43,0,1,1,85.13,1,False,0,12.57,11.06,7.38,1.9,1.49,1.57,BORR-0051
64.54,0,13.25,0,0.99,5.85,0.24,-3.87,2.09,3.32,23.89,17.55,10.45,17.6,16.26,1,0,0,-10.82,False,False,22.3,3.18,6.32,False,0,False,1,False,2.45,1,0,4,74.64,0,False,0,0.0,8.36,16.68,1.42,2.08,1.67,BORR-0052
52.08,0,3.93,0,20.36,11.24,3.83,0.83,-5.85,12.66,11.24,0.0,6.37,10.77,18.98,0,0,0,-0.13,False,False,1.34,6.57,11.79,False,0,False,1,False,5.36,0,1,0,78.93,1,False,0,5.44,2.82,0.0,2.32,1.86,1.64,BORR-0053
55.95,1,4.47,0,5.2,1.51,-10.59,2.21,4.34,18.17,13.98,14.6,12.21,0.0,8.05,0,1,0,-4.68,False,False,5.9,4.77,13.25,False,0,False,0,False,10.81,0,1,1,81.9,0,False,0,21.44,1.17,2.32,2.15,1.33,1.83,BORR-0054
52.63,0,0.0,0,2.94,12.22,-13.3,0.43,4.52,3.01,12.32,13.75,13.24,17.68,4.02,0,0,0,-6.81,False,False,-1.72,6.66,15.37,False,1,False,2,False,2.83,0,0,2,88.57,0,False,0,0.0,7.09,11.04,2.01,1.5,1.78,BORR-0055
70.45,1,2.06,1,18.93,9.56,1.71,-3.36,19.15,6.01,11.7,20.82,1.89,1.82,17.0,0,0,0,-3.64,False,False,31.44,0.07,0.0,False,1,False,1,False,0.0,2,0,2,74.27,0,False,1,18.94,7.83,10.99,1.39,1.96,1.61,BORR-0056
75.6,2,1.44,0,16.71,17.79,-7.9,-2.02,15.33,22.04,22.77,11.68,3.71,13.97,6.5,0,2,0,-9.07,True,False,19.62,12.7,17.22,False,0,False,1,False,11.03,0,1,3,67.98,0,False,0,1.47,17.81,8.98,1.93,2.34,1.58,BORR-0057
63.05,0,5.99,0,13.1,11.98,-1.6,0.3,11.74,-3.9,6.46,22.93,21.6,0.79,10.47,0,1,1,4.75,False,False,14.36,4.95,14.56,False,0,False,0,False,17.06,0,0,1,82.16,0,False,0,6.62,9.51,0.08,2.28,1.6,1.99,BORR-0058
59.21,1,11.27,2,7.1,5.95,-17.59,-1.4,3.54,17.19,22.36,26.21,21.49,23.6,5.38,0,0,0,-1.58,True,False,22.75,0.18,14.22,False,0,False,2,True,9.1,4,1,2,78.03,2,False,0,17.09,3.92,9.22,1.67,2.01,1.67,BORR-0059
69.66,0,0.99,0,20.3,12.11,-1.2,-2.03,24.48,28.35,22.19,22.62,24.39,17.45,12.68,1,1,0,-5.23,False,False,21.8,6.97,17.7,False,1,False,4,False,7.05,0,1,2,74.87,1,False,1,6.93,6.57,18.44,2.01,2.22,1.48,BORR-0060
62.44,1,0.35,0,11.83,11.65,1.43,-0.2,-1.09,29.75,-2.83,5.59,0.0,13.39,7.63,0,0,0,0.08,False,False,8.63,1.74,8.96,True,2,False,0,False,1.01,2,0,0,84.69,0,False,1,7.06,2.42,4.52,1.93,1.23,1.81,BORR-0061
54.76,0,0.0,1,10.2,3.93,-15.83,-3.56,11.11,23.2,4.89,14.76,18.16,24.81,9.65,0,0,0,-5.88,False,False,12.07,6.2,15.76,False,1,False,0,False,1.84,0,0,3,78.16,0,False,0,16.56,17.21,17.81,1.81,1.93,1.74,BORR-0062
58.62,2,3.68,0,22.15,4.63,-27.77,-4.14,3.35,13.54,3.82,22.68,3.65,0.0,2.81,0,1,0,-2.03,True,False,7.24,17.42,0.0,False,0,False,0,False,9.88,0,0,1,78.71,0,False,1,1.14,0.0,7.13,2.22,1.3,1.73,BORR-0063
51.35,0,5.01,0,11.35,0.0,0.27,-0.38,4.29,-1.46,-1.09,16.19,19.0,1.63,9.94,0,0,0,0.4,True,False,8.86,0.72,2.0,False,1,False,0,False,1.96,0,0,3,85.54,1,False,0,2.0,0.0,20.81,2.02,1.46,1.97,BORR-0064
49.25,0,3.01,0,17.75,3.91,-15.37,-1.8,8.74,-1.9,-0.52,2.67,18.94,3.13,17.22,0,1,0,-6.82,False,False,12.71,4.57,2.7,False,0,False,1,False,4.71,1,0,0,83.71,1,False,0,8.39,0.0,12.92,2.04,1.61,1.69,BORR-0065
47.6,1,7.96,0,16.34,1.98,-6.11,-4.48,3.61,13.22,2.27,17.51,6.58,11.24,0.0,0,1,0,-4.68,False,False,0.85,10.03,13.33,True,1,False,1,False,0.0,0,2,1,91.99,0,False,0,2.53,0.0,13.39,1.92,1.56,1.75,BORR-0066
43.4,0,4.35,0,0.0,14.94,1.88,-0.99,16.86,-1.52,10.35,12.0,10.56,20.72,11.99,0,0,0,-2.31,False,False,11.33,6.53,8.83,False,0,False,0,False,0.05,1,0,2,85.37,0,False,0,22.11,0.0,9.39,1.96,1.59,1.77,BORR-0067
51.77,0,0.93,0,23.77,0.0,0.07,-4.93,14.98,8.69,9.47,0.0,5.37,19.54,2.61,0,0,0,-11.35,False,False,-5.16,1.74,11.64,False,0,False,1,False,0.8,0,1,3,72.07,0,False,0,9.9,0.09,6.12,2.06,1.35,1.86,BORR-0068
47.69,0,1.97,1,5.36,1.85,-19.8,1.09,9.98,8.67,-6.49,26.75,4.18,5.11,0.0,0,0,0,-12.68,False,True,2.99,2.02,9.88,False,0,False,0,False,3.67,0,1,0,92.02,1,False,3,6.64,0.0,16.39,2.02,1.94,1.73,BORR-0069
71.59,2,7.76,1,25.23,12.66,-11.99,-1.49,11.96,31.05,-7.31,27.91,0.0,13.74,11.86,0,0,2,-13.07,False,False,27.4,13.21,17.88,False,1,False,1,False,21.06,1,1,2,79.6,1,False,0,10.24,2.95,13.18,1.73,1.99,1.5,BORR-0070
57.74,0,11.28,0,11.55,3.21,-5.48,0.28,-8.52,15.8,6.58,4.36,7.47,7.62,0.0,1,0,0,3.72,False,False,11.37,2.66,13.85,False,0,False,0,False,0.0,1,0,0,82.7,0,False,1,0.0,8.39,0.91,1.97,1.25,1.55,BORR-0071
59.12,1,8.26,2,3.87,6.7,-15.36,-5.11,1.74,9.13,15.26,18.29,11.61,6.54,17.06,1,2,0,-16.08,False,False,18.49,12.88,17.37,False,2,False,0,False,5.87,1,0,6,80.9,1,False,0,2.64,17.83,0.0,1.52,2.39,1.65,BORR-0072
67.14,2,9.71,1,5.92,5.62,-15.91,-1.14,22.95,15.86,23.47,4.77,29.84,31.23,18.02,0,0,1,0.16,False,False,15.75,11.79,23.78,False,0,False,0,False,15.1,0,2,4,72.67,0,False,0,12.33,9.38,9.05,1.96,1.39,1.53,BORR-0073
58.15,2,7.92,1,22.46,0.66,-3.09,-3.15,21.93,15.78,8.13,22.36,0.0,22.03,14.74,2,1,0,-13.16,False,False,17.44,13.93,24.27,False,1,False,1,False,14.91,0,0,3,83.96,0,False,0,19.11,12.61,5.02,1.95,2.4,1.64,BORR-0074
52.9,0,5.77,0,0.0,9.38,-15.43,1.81,4.11,3.56,0.98,5.9,20.66,0.0,16.08,0,0,0,-2.06,False,False,15.03,9.71,1.56,False,0,False,0,False,3.26,0,0,3,86.98,0,False,0,17.3,2.7,0.0,2.18,1.55,1.79,BORR-0075
51.3,1,15.77,0,1.63,5.98,-10.83,-4.3,8.81,14.08,9.8,9.47,3.09,0.0,12.76,0,0,1,4.2,False,False,11.87,11.0,0.0,False,0,False,0,False,8.89,0,1,1,92.23,1,False,0,0.0,13.14,3.97,2.29,1.65,1.81,BORR-0076
49.9,0,1.3,1,5.66,2.53,-13.25,-1.16,-9.77,-0.24,-1.42,6.51,6.38,17.6,18.38,0,0,0,-9.34,False,False,11.0,4.66,6.92,False,0,False,0,False,0.0,0,0,0,77.66,0,False,0,3.81,5.4,1.49,2.17,1.53,1.56,BORR-0077
57.1,1,3.62,1,0.32,1.15,-7.58,-1.64,-2.44,-0.8,7.38,24.53,11.03,7.54,0.27,0,1,0,-0.95,False,False,4.93,3.49,3.8,False,0,False,0,False,6.92,0,2,1,85.61,1,False,0,21.44,0.84,2.31,1.95,1.7,1.87,BORR-0078
46.04,0,0.34,0,10.98,7.09,-16.93,0.93,8.77,16.33,9.55,23.27,12.33,21.46,10.42,0,0,0,-4.24,False,False,14.51,13.68,18.0,False,0,False,0,False,9.21,0,0,1,80.66,0,False,0,2.39,6.43,0.0,1.5,1.35,1.81,BORR-0079
63.45,1,7.63,2,7.82,9.88,-19.86,-3.62,16.81,8.61,12.25,18.36,14.54,16.52,4.55,0,0,3,-3.86,False,False,10.47,13.77,23.9,False,0,False,0,True,8.49,0,0,2,73.93,1,False,0,10.05,7.93,13.85,1.57,2.2,1.91,BORR-0080
81.58,0,12.76,1,29.15,13.26,-22.97,-4.01,17.03,9.13,21.22,47.97,20.9,43.99,30.51,2,1,1,-14.84,True,False,41.51,1.53,15.26,False,0,False,0,False,28.43,4,1,5,73.6,1,False,1,11.31,21.02,14.35,0.9,3.08,1.38,BORR-0081
61.39,1,1.69,0,28.61,2.34,-15.48,-0.51,26.84,-9.47,5.74,17.51,9.33,6.87,0.0,0,0,0,-0.85,False,False,-3.55,3.81,7.87,False,0,False,1,False,7.15,1,1,1,87.77,0,False,0,0.38,0.0,19.03,2.24,2.03,1.65,BORR-0082
62.86,0,0.53,0,25.1,7.02,-3.02,-1.59,34.18,0.41,24.07,33.83,6.73,26.07,15.02,0,0,0,-9.89,False,False,21.0,13.75,5.01,False,2,True,0,False,15.49,0,3,5,80.22,1,False,1,19.21,18.49,4.83,1.51,2.28,1.38,BORR-0083
49.34,0,3.55,0,7.91,7.11,-2.63,-1.88,9.71,4.26,9.66,3.29,6.65,0.0,6.24,0,0,1,0.16,False,False,6.84,6.04,11.63,False,0,False,0,False,6.68,0,0,2,85.07,0,False,1,15.45,0.0,10.32,2.09,1.41,1.89,BORR-0084
82.65,3,17.36,0,22.97,24.03,-21.95,-3.1,31.96,20.08,15.24,37.15,26.55,46.07,15.05,3,3,2,-4.78,False,False,43.67,12.89,30.49,False,0,False,0,True,27.33,2,1,3,53.91,1,False,2,12.1,14.09,17.59,1.42,3.46,1.04,BORR-0085
53.57,1,9.48,0,23.61,0.72,-12.5,-2.63,28.96,19.42,0.62,19.47,15.43,13.72,17.15,0,0,0,-12.32,False,False,23.61,9.61,14.76,False,0,False,0,False,0.0,0,1,1,75.14,1,False,0,21.9,6.76,6.42,1.28,2.08,1.92,BORR-0086
53.89,0,2.89,2,9.23,5.09,-11.33,1.41,12.07,0.83,14.01,3.28,1.41,0.4,0.0,0,0,1,-1.39,False,False,-1.38,3.57,6.37,False,0,False,0,False,3.71,0,1,1,85.68,0,False,0,2.99,3.99,7.13,2.29,1.47,1.74,BORR-0087
58.05,0,0.06,1,0.25,4.54,-6.9,-2.73,0.0,17.49,20.49,7.08,18.93,7.44,13.23,0,0,0,-9.42,False,False,23.06,10.79,12.49,True,0,False,1,False,10.47,1,1,5,75.16,0,False,0,20.27,1.89,4.69,1.6,2.42,1.67,BORR-0088
47.66,0,1.45,0,15.82,0.0,6.76,0.46,15.48,1.55,4.8,0.0,3.66,12.94,16.22,0,0,0,-9.29,False,False,9.71,1.11,2.97,False,0,False,0,False,0.0,0,0,1,77.94,0,False,1,6.16,6.6,16.09,2.0,1.75,1.63,BORR-0089
63.29,0,5.77,0,19.46,5.3,-2.16,-0.9,17.69,-0.01,12.43,23.27,16.79,0.0,5.82,1,0,0,-8.03,False,False,25.25,11.46,17.87,False,0,False,0,False,8.29,2,3,0,79.26,0,False,1,6.94,15.46,3.65,1.77,2.14,1.86,BORR-0090
