Borrower_ID,Indicator_ID,Indicator_Name,Category,Score,Severity,Critical_Indicator,Final_Status
BORR-0004,CRITICAL-COMBO,Stretched debtors + rising provisions,Critical Combination,100.0,Critical,True,Critical
BORR-0005,EWS-001,High Bank Utilization,Liquidity,50.0,Medium,False,Critical
BORR-0005,EWS-003,Credit Facility Reduction / Decline,Banking Behaviour,50.0,Medium,False,Critical
BORR-0005,EWS-004,Payment Defaults,Repayment Behaviour,50.0,Medium,True,Critical
BORR-0005,EWS-005,Non-Core Repayment Source,Repayment Behaviour,50.0,Medium,True,Critical
BORR-0005,EWS-006,Stock / Inventory Variance,Operations,50.0,Medium,False,Critical
BORR-0005,EWS-008,EBITDA Margin Deterioration,Financial Performance,75.0,High,False,Critical
BORR-0005,EWS-009,Increase in Debtor Days,Working Capital,100.0,Critical,True,Critical
BORR-0005,EWS-010,Increase in Inventory Days,Working Capital,50.0,Medium,False,Critical
BORR-0005,EWS-011,Increase in Creditor Days,Working Capital,50.0,Medium,True,Critical
BORR-0005,EWS-012,Increase in Provisions,Financial Performance,100.0,Critical,True,Critical
BORR-0005,EWS-014,Increase in Unsecured Loans,Leverage,75.0,High,True,Critical
BORR-0005,EWS-015,Finance Cost Growth Gap,Financial Performance,75.0,High,False,Critical
BORR-0005,EWS-022,Promoter Pledge,Promoter,75.0,High,True,Critical
BORR-0005,EWS-023,Promoter Holding Decline,Promoter,50.0,Medium,False,Critical
BORR-0005,EWS-024,Related Party Transaction Increase,Governance,50.0,Medium,False,Critical
BORR-0005,EWS-025,Group Company Stress,Group Risk,100.0,Critical,False,Critical
BORR-0005,EWS-028,Litigation,Legal,50.0,Medium,True,Critical
BORR-0005,EWS-030,Sector Growth Gap,Sector Risk,75.0,High,False,Critical
BORR-0005,EWS-031,Adverse News,External Risk,100.0,Critical,False,Critical
BORR-0005,EWS-032,Customer Complaint Severity,Operational Risk,40.0,Medium,False,Critical
BORR-0005,EWS-035,Adverse Site Visit,Operations,80.0,Critical,True,Critical
BORR-0005,EWS-038,Carbon Emission Increase,Climate Risk,100.0,Critical,False,Critical
BORR-0005,EWS-039,Depreciation Change,Financial Performance,50.0,Medium,False,Critical
BORR-0005,EWS-040,Inventory Valuation Change,Financial Reporting,75.0,High,False,Critical
BORR-0005,EWS-042,Leverage,Leverage,75.0,High,False,Critical
BORR-0005,EWS-043,Current Ratio,Liquidity,50.0,Medium,False,Critical
BORR-0005,CRITICAL-COMBO,Stretched debtors + rising provisions,Critical Combination,100.0,Critical,True,Critical
BORR-0006,EWS-005,Non-Core Repayment Source,Repayment Behaviour,50.0,Medium,True,Critical
BORR-0006,EWS-006,Stock / Inventory Variance,Operations,50.0,Medium,False,Critical
BORR-0006,EWS-008,EBITDA Margin Deterioration,Financial Performance,50.0,Medium,False,Critical
BORR-0006,EWS-011,Increase in Creditor Days,Working Capital,75.0,High,True,Critical
BORR-0006,EWS-012,Increase in Provisions,Financial Performance,50.0,Medium,True,Critical
BORR-0006,EWS-014,Increase in Unsecured Loans,Leverage,50.0,Medium,True,Critical
BORR-0006,EWS-015,Finance Cost Growth Gap,Financial Performance,75.0,High,False,Critical
BORR-0006,EWS-022,Promoter Pledge,Promoter,50.0,Medium,True,Critical
BORR-0006,EWS-027,Regulatory Event,Compliance,100.0,Critical,True,Critical
BORR-0006,EWS-029,Business Model Change,Business Risk,100.0,Critical,False,Critical
BORR-0006,EWS-033,Workforce Disruption,Operational Risk,50.0,Medium,False,Critical
BORR-0006,EWS-038,Carbon Emission Increase,Climate Risk,50.0,Medium,False,Critical
BORR-0006,CRITICAL-COMBO,Stretched debtors + rising provisions,Critical Combination,100.0,Critical,True,Critical
BORR-0007,EWS-015,Finance Cost Growth Gap,Financial Performance,75.0,High,False,Green
BORR-0007,EWS-030,Sector Growth Gap,Sector Risk,50.0,Medium,False,Green
BORR-0008,EWS-008,EBITDA Margin Deterioration,Financial Performance,50.0,Medium,False,Critical
BORR-0008,EWS-011,Increase in Creditor Days,Working Capital,50.0,Medium,True,Critical
BORR-0008,EWS-012,Increase in Provisions,Financial Performance,75.0,High,True,Critical
BORR-0008,EWS-015,Finance Cost Growth Gap,Financial Performance,50.0,Medium,False,Critical
BORR-0008,EWS-023,Promoter Holding Decline,Promoter,50.0,Medium,False,Critical
BORR-0008,EWS-024,Related Party Transaction Increase,Governance,50.0,Medium,False,Critical
BORR-0008,EWS-028,Litigation,Legal,75.0,High,True,Critical
BORR-0008,EWS-038,Carbon Emission Increase,Climate Risk,50.0,Medium,False,Critical
BORR-0008,EWS-040,Inventory Valuation Change,Financial Reporting,50.0,Medium,False,Critical
BORR-0008,CRITICAL-COMBO,Stretched debtors + rising provisions,Critical Combination,100.0,Critical,True,Critical
BORR-0009,EWS-001,High Bank Utilization,Liquidity,50.0,Medium,False,Critical
BORR-0009,EWS-002,Adhoc / Temporary Limit Requests,Banking Behaviour,50.0,Medium,False,Critical
BORR-0009,EWS-003,Credit Facility Reduction / Decline,Banking Behaviour,50.0,Medium,False,Critical
BORR-0009,EWS-004,Payment Defaults,Repayment Behaviour,50.0,Medium,True,Critical
BORR-0009,EWS-005,Non-Core Repayment Source,Repayment Behaviour,50.0,Medium,True,Critical
BORR-0009,EWS-008,EBITDA Margin Deterioration,Financial Performance,75.0,High,False,Critical
BORR-0009,EWS-009,Increase in Debtor Days,Working Capital,75.0,High,True,Critical
BORR-0009,EWS-010,Increase in Inventory Days,Working Capital,50.0,Medium,False,Critical
BORR-0009,EWS-011,Increase in Creditor Days,Working Capital,75.0,High,True,Critical
BORR-0009,EWS-014,Increase in Unsecured Loans,Leverage,50.0,Medium,True,Critical
BORR-0009,EWS-015,Finance Cost Growth Gap,Financial Performance,50.0,Medium,False,Critical
BORR-0009,EWS-022,Promoter Pledge,Promoter,75.0,High,True,Critical
BORR-0009,EWS-023,Promoter Holding Decline,Promoter,50.0,Medium,False,Critical
BORR-0009,EWS-024,Related Party Transaction Increase,Governance,75.0,High,False,Critical
BORR-0009,EWS-026,Statutory Payment Delay,Compliance,50.0,Medium,False,Critical
BORR-0009,EWS-028,Litigation,Legal,75.0,High,True,Critical
BORR-0009,EWS-030,Sector Growth Gap,Sector Risk,75.0,High,False,Critical
BORR-0009,EWS-032,Customer Complaint Severity,Operational Risk,40.0,Medium,False,Critical
BORR-0009,EWS-038,Carbon Emission Increase,Climate Risk,75.0,High,False,Critical
BORR-0009,EWS-039,Depreciation Change,Financial Performance,50.0,Medium,False,Critical
BORR-0009,EWS-040,Inventory Valuation Change,Financial Reporting,75.0,High,False,Critical
BORR-0009,EWS-041,DSCR,Debt Servicing,100.0,Critical,True,Critical
BORR-0009,EWS-042,Leverage,Leverage,75.0,High,False,Critical
BORR-0009,EWS-043,Current Ratio,Liquidity,50.0,Medium,False,Critical
BORR-0009,CRITICAL-COMBO,Stretched debtors + rising provisions,Critical Combination,100.0,Critical,True,Critical
BORR-0010,EWS-015,Finance Cost Growth Gap,Financial Performance,50.0,Medium,False,Green
BORR-0010,EWS-028,Litigation,Legal,50.0,Medium,True,Green
BORR-0010,EWS-030,Sector Growth Gap,Sector Risk,50.0,Medium,False,Green
BORR-0010,EWS-038,Carbon Emission Increase,Climate Risk,50.0,Medium,False,Green
BORR-0010,EWS-040,Inventory Valuation Change,Financial Reporting,50.0,Medium,False,Green
BORR-0011,EWS-004,Payment Defaults,Repayment Behaviour,75.0,High,True,Critical
BORR-0011,EWS-005,Non-Core Repayment Source,Repayment Behaviour,50.0,Medium,True,Critical
BORR-0011,EWS-008,EBITDA Margin Deterioration,Financial Performance,75.0,High,False,Critical
BORR-0011,EWS-009,Increase in Debtor Days,Working Capital,75.0,High,True,Critical
BORR-0011,EWS-012,Increase in Provisions,Financial Performance,50.0,Medium,True,Critical
BORR-0011,EWS-014,Increase in Unsecured Loans,Leverage,50.0,Medium,True,Critical
BORR-0011,EWS-018,External Rating Downgrade,Rating,75.0,High,True,Critical
BORR-0011,EWS-022,Promoter Pledge,Promoter,75.0,High,True,Critical
BORR-0011,EWS-023,Promoter Holding Decline,Promoter,50.0,Medium,False,Critical
BORR-0011,EWS-028,Litigation,Legal,50.0,Medium,True,Critical
BORR-0011,EWS-038,Carbon Emission Increase,Climate Risk,75.0,High,False,Critical
BORR-0011,EWS-041,DSCR,Debt Servicing,75.0,High,True,Critical
BORR-0011,EWS-042,Leverage,Leverage,50.0,Medium,False,Critical
BORR-0011,CRITICAL-COMBO,Stretched debtors + rising provisions,Critical Combination,100.0,Critical,True,Critical
BORR-0012,EWS-004,Payment Defaults,Repayment Behaviour,50.0,Medium,True,Critical
BORR-0012,EWS-024,Related Party Transaction Increase,Governance,50.0,Medium,False,Critical
BORR-0012,EWS-030,Sector Growth Gap,Sector Risk,50.0,Medium,False,Critical
BORR-0012,EWS-038,Carbon Emission Increase,Climate Risk,50.0,Medium,False,Critical
BORR-0012,EWS-039,Depreciation Change,Financial Performance,50.0,Medium,False,Critical
BORR-0012,EWS-040,Inventory Valuation Change,Financial Reporting,50.0,Medium,False,Critical
BORR-0012,CRITICAL-COMBO,Non-core repayment source + rising unsecured loans,Critical Combination,100.0,Critical,True,Critical
BORR-0013,EWS-015,Finance Cost Growth Gap,Financial Performance,50.0,Medium,False,Green
BORR-0013,EWS-030,Sector Growth Gap,Sector Risk,50.0,Medium,False,Green
BORR-0013,EWS-038,Carbon Emission Increase,Climate Risk,50.0,Medium,False,Green
BORR-0013,EWS-039,Depreciation Change,Financial Performance,50.0,Medium,False,Green
BORR-0014,EWS-006,Stock / Inventory Variance,Operations,50.0,Medium,False,Green
BORR-0014,EWS-008,EBITDA Margin Deterioration,Financial Performance,50.0,Medium,False,Green
BORR-0014,EWS-010,Increase in Inventory Days,Working Capital,50.0,Medium,False,Green
BORR-0014,EWS-011,Increase in Creditor Days,Working Capital,50.0,Medium,True,Green
BORR-0014,EWS-015,Finance Cost Growth Gap,Financial Performance,50.0,Medium,False,Green
BORR-0014,EWS-038,Carbon Emission Increase,Climate Risk,50.0,Medium,False,Green
BORR-0015,EWS-005,Non-Core Repayment Source,Repayment Behaviour,50.0,Medium,True,Critical
BORR-0015,EWS-012,Increase in Provisions,Financial Performance,50.0,Medium,True,Critical
BORR-0015,EWS-014,Increase in Unsecured Loans,Leverage,50.0,Medium,True,Critical
BORR-0015,EWS-028,Litigation,Legal,75.0,High,True,Critical
BORR-0015,EWS-035,Adverse Site Visit,Operations,60.0,High,True,Critical
BORR-0015,EWS-038,Carbon Emission Increase,Climate Risk,50.0,Medium,False,Critical
BORR-0015,CRITICAL-COMBO,Stretched debtors + rising provisions,Critical Combination,100.0,Critical,True,Critical
BORR-0016,EWS-001,High Bank Utilization,Liquidity,50.0,Medium,False,Critical
BORR-0016,EWS-004,Payment Defaults,Repayment Behaviour,50.0,Medium,True,Critical
BORR-0016,EWS-005,Non-Core Repayment Source,Repayment Behaviour,75.0,High,True,Critical
BORR-0016,EWS-006,Stock / Inventory Variance,Operations,50.0,Medium,False,Critical
BORR-0016,EWS-008,EBITDA Margin Deterioration,Financial Performance,75.0,High,False,Critical
BORR-0016,EWS-009,Increase in Debtor Days,Working Capital,75.0,High,True,Critical
BORR-0016,EWS-010,Increase in Inventory Days,Working Capital,50.0,Medium,False,Critical
BORR-0016,EWS-011,Increase in Creditor Days,Working Capital,50.0,Medium,True,Critical
BORR-0016,EWS-012,Increase in Provisions,Financial Performance,50.0,Medium,True,Critical
BORR-0016,EWS-014,Increase in Unsecured Loans,Leverage,75.0,High,True,Critical
BORR-0016,EWS-015,Finance Cost Growth Gap,Financial Performance,75.0,High,False,Critical
BORR-0016,EWS-016,LC Events,Trade Finance,50.0,Medium,False,Critical
BORR-0016,EWS-018,External Rating Downgrade,Rating,100.0,Critical,True,Critical
BORR-0016,EWS-021,Management Change,Governance,100.0,Critical,False,Critical
BORR-0016,EWS-022,Promoter Pledge,Promoter,75.0,High,True,Critical
BORR-0016,EWS-023,Promoter Holding Decline,Promoter,50.0,Medium,False,Critical
BORR-0016,EWS-024,Related Party Transaction Increase,Governance,50.0,Medium,False,Critical
BORR-0016,EWS-027,Regulatory Event,Compliance,100.0,Critical,True,Critical
BORR-0016,EWS-028,Litigation,Legal,50.0,Medium,True,Critical
BORR-0016,EWS-029,Business Model Change,Business Risk,100.0,Critical,False,Critical
BORR-0016,EWS-030,Sector Growth Gap,Sector Risk,50.0,Medium,False,Critical
BORR-0016,EWS-033,Workforce Disruption,Operational Risk,50.0,Medium,False,Critical
BORR-0016,EWS-037,ESG Action / Event,ESG,60.0,High,False,Critical
BORR-0016,EWS-038,Carbon Emission Increase,Climate Risk,50.0,Medium,False,Critical
BORR-0016,EWS-039,Depreciation Change,Financial Performance,50.0,Medium,False,Critical
BORR-0016,EWS-040,Inventory Valuation Change,Financial Reporting,50.0,Medium,False,Critical
BORR-0016,EWS-041,DSCR,Debt Servicing,75.0,High,True,Critical
BORR-0016,EWS-042,Leverage,Leverage,50.0,Medium,False,Critical
BORR-0016,EWS-043,Current Ratio,Liquidity,50.0,Medium,False,Critical
BORR-0016,CRITICAL-COMBO,Stretched debtors + rising provisions,Critical Combination,100.0,Critical,True,Critical
BORR-0017,EWS-001,High Bank Utilization,Liquidity,50.0,Medium,False,Critical
BORR-0017,EWS-003,Credit Facility Reduction / Decline,Banking Behaviour,50.0,Medium,False,Critical
BORR-0017,EWS-004,Payment Defaults,Repayment Behaviour,50.0,Medium,True,Critical
BORR-0017,EWS-005,Non-Core Repayment Source,Repayment Behaviour,50.0,Medium,True,Critical
BORR-0017,EWS-009,Increase in Debtor Days,Working Capital,50.0,Medium,True,Critical
BORR-0017,EWS-010,Increase in Inventory Days,Working Capital,50.0,Medium,False,Critical
BORR-0017,EWS-011,Increase in Creditor Days,Working Capital,50.0,Medium,True,Critical
BORR-0017,EWS-012,Increase in Provisions,Financial Performance,75.0,High,True,Critical
BORR-0017,EWS-014,Increase in Unsecured Loans,Leverage,75.0,High,True,Critical
BORR-0017,EWS-015,Finance Cost Growth Gap,Financial Performance,75.0,High,False,Critical
BORR-0017,EWS-022,Promoter Pledge,Promoter,75.0,High,True,Critical
BORR-0017,EWS-023,Promoter Holding Decline,Promoter,50.0,Medium,False,Critical
BORR-0017,EWS-024,Related Party Transaction Increase,Governance,50.0,Medium,False,Critical
BORR-0017,EWS-026,Statutory Payment Delay,Compliance,50.0,Medium,False,Critical
BORR-0017,EWS-028,Litigation,Legal,50.0,Medium,True,Critical
BORR-0017,EWS-030,Sector Growth Gap,Sector Risk,75.0,High,False,Critical
BORR-0017,EWS-032,Customer Complaint Severity,Operational Risk,100.0,Critical,False,Critical
BORR-0017,EWS-033,Workforce Disruption,Operational Risk,50.0,Medium,False,Critical
BORR-0017,EWS-038,Carbon Emission Increase,Climate Risk,75.0,High,False,Critical
BORR-0017,EWS-039,Depreciation Change,Financial Performance,50.0,Medium,False,Critical
BORR-0017,EWS-040,Inventory Valuation Change,Financial Reporting,75.0,High,False,Critical
BORR-0017,EWS-041,DSCR,Debt Servicing,75.0,High,True,Critical
BORR-0017,EWS-042,Leverage,Leverage,50.0,Medium,False,Critical
BORR-0017,EWS-043,Current Ratio,Liquidity,50.0,Medium,False,Critical
BORR-0017,CRITICAL-COMBO,Stretched debtors + rising provisions,Critical Combination,100.0,Critical,True,Critical
BORR-0018,EWS-002,Adhoc / Temporary Limit Requests,Banking Behaviour,50.0,Medium,False,Critical
BORR-0018,EWS-003,Credit Facility Reduction / Decline,Banking Behaviour,50.0,Medium,False,Critical
BORR-0018,EWS-004,Payment Defaults,Repayment Behaviour,50.0,Medium,True,Critical
BORR-0018,EWS-005,Non-Core Repayment Source,Repayment Behaviour,75.0,High,True,Critical
BORR-0018,EWS-006,Stock / Inventory Variance,Operations,50.0,Medium,False,Critical
BORR-0018,EWS-008,EBITDA Margin Deterioration,Financial Performance,50.0,Medium,False,Critical
BORR-0018,EWS-009,Increase in Debtor Days,Working Capital,50.0,Medium,True,Critical
BORR-0018,EWS-010,Increase in Inventory Days,Working Capital,50.0,Medium,False,Critical
BORR-0018,EWS-011,Increase in Creditor Days,Working Capital,50.0,Medium,True,Critical
BORR-0018,EWS-014,Increase in Unsecured Loans,Leverage,50.0,Medium,True,Critical
BORR-0018,EWS-022,Promoter Pledge,Promoter,50.0,Medium,True,Critical
BORR-0018,EWS-026,Statutory Payment Delay,Compliance,50.0,Medium,False,Critical
BORR-0018,EWS-031,Adverse News,External Risk,40.0,Medium,False,Critical
BORR-0018,EWS-039,Depreciation Change,Financial Performance,50.0,Medium,False,Critical
BORR-0018,EWS-040,Inventory Valuation Change,Financial Reporting,50.0,Medium,False,Critical
BORR-0018,CRITICAL-COMBO,Stretched debtors + rising provisions,Critical Combination,100.0,Critical,True,Critical
BORR-0019,EWS-004,Payment Defaults,Repayment Behaviour,50.0,Medium,True,Critical
BORR-0019,EWS-010,Increase in Inventory Days,Working Capital,50.0,Medium,False,Critical
BORR-0019,EWS-012,Increase in Provisions,Financial Performance,50.0,Medium,True,Critical
BORR-0019,EWS-014,Increase in Unsecured Loans,Leverage,50.0,Medium,True,Critical
BORR-0019,EWS-030,Sector Growth Gap,Sector Risk,50.0,Medium,False,Critical
BORR-0019,CRITICAL-COMBO,Stretched debtors + rising provisions,Critical Combination,100.0,Critical,True,Critical
BORR-0020,EWS-008,EBITDA Margin Deterioration,Financial Performance,50.0,Medium,False,Critical
BORR-0020,EWS-012,Increase in Provisions,Financial Performance,50.0,Medium,True,Critical
BORR-0020,EWS-024,Related Party Transaction Increase,Governance,50.0,Medium,False,Critical
BORR-0020,EWS-038,Carbon Emission Increase,Climate Risk,50.0,Medium,False,Critical
BORR-0020,CRITICAL-COMBO,Stretched debtors + rising provisions,Critical Combination,100.0,Critical,True,Critical
BORR-0021,EWS-001,High Bank Utilization,Liquidity,50.0,Medium,False,Critical
BORR-0021,EWS-003,Credit Facility Reduction / Decline,Banking Behaviour,50.0,Medium,False,Critical
BORR-0021,EWS-005,Non-Core Repayment Source,Repayment Behaviour,75.0,High,True,Critical
BORR-0021,EWS-006,Stock / Inventory Variance,Operations,50.0,Medium,False,Critical
BORR-0021,EWS-008,EBITDA Margin Deterioration,Financial Performance,50.0,Medium,False,Critical
BORR-0021,EWS-010,Increase in Inventory Days,Working Capital,50.0,Medium,False,Critical
BORR-0021,EWS-012,Increase in Provisions,Financial Performance,100.0,Critical,True,Critical
BORR-0021,EWS-014,Increase in Unsecured Loans,Leverage,75.0,High,True,Critical
BORR-0021,EWS-017,BG Events,Trade Finance,50.0,Medium,False,Critical
BORR-0021,EWS-018,External Rating Downgrade,Rating,50.0,Medium,True,Critical
BORR-0021,EWS-022,Promoter Pledge,Promoter,75.0,High,True,Critical
BORR-0021,EWS-023,Promoter Holding Decline,Promoter,50.0,Medium,False,Critical
BORR-0021,EWS-026,Statutory Payment Delay,Compliance,50.0,Medium,False,Critical
BORR-0021,EWS-028,Litigation,Legal,50.0,Medium,True,Critical
BORR-0021,EWS-030,Sector Growth Gap,Sector Risk,50.0,Medium,False,Critical
BORR-0021,EWS-032,Customer Complaint Severity,Operational Risk,40.0,Medium,False,Critical
BORR-0021,EWS-033,Workforce Disruption,Operational Risk,50.0,Medium,False,Critical
BORR-0021,EWS-035,Adverse Site Visit,Operations,40.0,Medium,True,Critical
BORR-0021,EWS-037,ESG Action / Event,ESG,40.0,Medium,False,Critical
BORR-0021,EWS-038,Carbon Emission Increase,Climate Risk,75.0,High,False,Critical
BORR-0021,EWS-039,Depreciation Change,Financial Performance,50.0,Medium,False,Critical
BORR-0021,EWS-040,Inventory Valuation Change,Financial Reporting,75.0,High,False,Critical
BORR-0021,EWS-041,DSCR,Debt Servicing,50.0,Medium,True,Critical
BORR-0021,EWS-042,Leverage,Leverage,50.0,Medium,False,Critical
BORR-0021,EWS-043,Current Ratio,Liquidity,50.0,Medium,False,Critical
BORR-0021,CRITICAL-COMBO,Stretched debtors + rising provisions,Critical Combination,100.0,Critical,True,Critical
BORR-0022,EWS-012,Increase in Provisions,Financial Performance,50.0,Medium,True,Critical
BORR-0022,EWS-014,Increase in Unsecured Loans,Leverage,50.0,Medium,True,Critical
BORR-0022,EWS-028,Litigation,Legal,50.0,Medium,True,Critical
BORR-0022,EWS-030,Sector Growth Gap,Sector Risk,50.0,Medium,False,Critical
BORR-0022,EWS-038,Carbon Emission Increase,Climate Risk,50.0,Medium,False,Critical
BORR-0022,EWS-040,Inventory Valuation Change,Financial Reporting,50.0,Medium,False,Critical
BORR-0022,CRITICAL-COMBO,Stretched debtors + rising provisions,Critical Combination,100.0,Critical,True,Critical
BORR-0023,EWS-002,Adhoc / Temporary Limit Requests,Banking Behaviour,50.0,Medium,False,Critical
BORR-0023,EWS-008,EBITDA Margin Deterioration,Financial Performance,50.0,Medium,False,Critical
BORR-0023,EWS-012,Increase in Provisions,Financial Performance,50.0,Medium,True,Critical
BORR-0023,EWS-023,Promoter Holding Decline,Promoter,50.0,Medium,False,Critical
BORR-0023,EWS-042,Leverage,Leverage,50.0,Medium,False,Critical
BORR-0023,CRITICAL-COMBO,Stretched debtors + rising provisions,Critical Combination,100.0,Critical,True,Critical
BORR-0024,EWS-002,Adhoc / Temporary Limit Requests,Banking Behaviour,75.0,High,False,Critical
BORR-0024,EWS-003,Credit Facility Reduction / Decline,Banking Behaviour,50.0,Medium,False,Critical
BORR-0024,EWS-005,Non-Core Repayment Source,Repayment Behaviour,50.0,Medium,True,Critical
BORR-0024,EWS-008,EBITDA Margin Deterioration,Financial Performance,50.0,Medium,False,Critical
BORR-0024,EWS-012,Increase in Provisions,Financial Performance,75.0,High,True,Critical
BORR-0024,EWS-015,Finance Cost Growth Gap,Financial Performance,50.0,Medium,False,Critical
BORR-0024,EWS-021,Management Change,Governance,100.0,Critical,False,Critical
BORR-0024,EWS-022,Promoter Pledge,Promoter,50.0,Medium,True,Critical
BORR-0024,EWS-024,Related Party Transaction Increase,Governance,50.0,Medium,False,Critical
BORR-0024,EWS-035,Adverse Site Visit,Operations,40.0,Medium,True,Critical
BORR-0024,EWS-036,Round Tripping,Fraud Risk,100.0,Critical,True,Critical
BORR-0024,EWS-037,ESG Action / Event,ESG,40.0,Medium,False,Critical
BORR-0024,EWS-038,Carbon Emission Increase,Climate Risk,50.0,Medium,False,Critical
BORR-0024,EWS-040,Inventory Valuation Change,Financial Reporting,50.0,Medium,False,Critical
BORR-0024,CRITICAL-COMBO,Stretched debtors + rising provisions,Critical Combination,100.0,Critical,True,Critical
BORR-0025,EWS-004,Payment Defaults,Repayment Behaviour,50.0,Medium,True,Critical
BORR-0025,EWS-008,EBITDA Margin Deterioration,Financial Performance,50.0,Medium,False,Critical
BORR-0025,EWS-022,Promoter Pledge,Promoter,50.0,Medium,True,Critical
BORR-0025,CRITICAL-COMBO,Payment defaults + stretched creditors,Critical Combination,100.0,Critical,True,Critical
BORR-0026,EWS-010,Increase in Inventory Days,Working Capital,50.0,Medium,False,Critical
BORR-0026,EWS-023,Promoter Holding Decline,Promoter,50.0,Medium,False,Critical
BORR-0026,EWS-032,Customer Complaint Severity,Operational Risk,40.0,Medium,False,Critical
BORR-0026,EWS-038,Carbon Emission Increase,Climate Risk,50.0,Medium,False,Critical
BORR-0026,CRITICAL-COMBO,Non-core repayment source + rising unsecured loans,Critical Combination,100.0,Critical,True,Critical
BORR-0027,EWS-005,Non-Core Repayment Source,Repayment Behaviour,50.0,Medium,True,Critical
BORR-0027,EWS-012,Increase in Provisions,Financial Performance,50.0,Medium,True,Critical
BORR-0027,EWS-014,Increase in Unsecured Loans,Leverage,50.0,Medium,True,Critical
BORR-0027,EWS-015,Finance Cost Growth Gap,Financial Performance,50.0,Medium,False,Critical
